onset	duration
7.004	2.292
15.91	2.45
22.87	1.986
30.844	1.772
42.817	1.767
46.79	2.202
53.764	1.78
63.724	2.5
70.697	2.519
82.67	2.802
87.644	1.644
98.604	2.86
111.577	3.567
120.55	2.81
126.524	1.884
132.484	3.148
143.457	3.039
155.43	4
167.43	4
172.43	2.346
176.404	1.836
185.364	1.588
195.337	3.103
202.31	2.114
207.284	1.436
218.244	2.644
225.217	3.143
233.19	1.41
240.164	3.188
244.124	2.628
249.097	1.735
253.07	1.514
260.044	1.484
269.004	2.212
273.977	1.775
282.95	1.914
290.924	2.316
295.884	3.988
300.884	1.54
308.857	2.071
321.83	1.714
326.804	3.084
331.764	2.268
336.737	2.663
348.71	2.746
357.683	2.989
363.644	1.876
368.617	2.223
375.59	3.402
385.563	2.589
392.524	2.7
405.497	3.183
410.47	1.77
423.443	1.965
432.404	2.916
438.377	1.583
448.35	3.418
461.324	1.724
472.284	2.028
480.257	2.199
485.23	2.122
492.204	1.932
498.163	1.813
509.137	3.367
516.11	1.738
524.083	1.677
529.043	1.621
537.017	2.167
549.99	1.762
561.963	2.045
565.923	2.349
579.897	3.423
589.87	1.642
600.843	3.949
