onset	duration	trial_type	response_time
0.0	8.0	fixation	NA
8.0	3.9	quilted_speech	NA
11.9	3.9	quilted_speech	NA
15.8	3.9	quilted_speech	NA
19.7	3.9	quilted_speech	NA
23.6	0.4	quilted_speech	NA
24.0	3.9	nonwords	NA
27.9	3.9	nonwords	NA
31.8	3.9	nonwords	NA
35.7	3.9	nonwords	NA
39.6	0.4	nonwords	NA
40.0	3.9	nonwords	NA
43.9	3.9	nonwords	NA
47.8	3.9	nonwords	NA
51.7	3.9	nonwords	NA
55.6	0.4	nonwords	NA
56.0	3.9	quilted_speech	NA
59.9	3.9	quilted_speech	NA
63.8	3.9	quilted_speech	NA
67.7	3.9	quilted_speech	NA
71.6	0.4	quilted_speech	NA
72.0	8.0	fixation	NA
80.0	3.9	quilted_speech	NA
83.9	3.9	quilted_speech	NA
87.8	3.9	quilted_speech	NA
91.7	3.9	quilted_speech	NA
95.6	0.4	quilted_speech	NA
96.0	3.9	nonwords	NA
99.9	3.9	nonwords	NA
103.8	3.9	nonwords	NA
107.7	3.9	nonwords	NA
111.6	0.4	nonwords	NA
112.0	3.9	nonwords	NA
115.9	3.9	nonwords	NA
119.8	3.9	nonwords	NA
123.7	3.9	nonwords	NA
127.6	0.4	nonwords	NA
128.0	3.9	quilted_speech	NA
131.9	3.9	quilted_speech	NA
135.8	3.9	quilted_speech	NA
139.7	3.9	quilted_speech	NA
143.6	0.4	quilted_speech	NA
144.0	8.0	fixation	NA
