onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.507	5.299	3	UnrN	T3_system.bmp	T0_head.bmp	2253	8	8	1
6.806	5.8	2	LowY	T3_speak.bmp	T0_talk.bmp	1338	7	7	1
12.606	5.782	3	UnrN	T3_cobra.bmp	T1_slipper.bmp	1179	8	8	1
18.388	5.283	2	LowY	T3_distance.bmp	T2_mile.bmp	1516	7	7	1
23.671	5.299	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1193	8	8	1
28.97	5.299	5	PercY	_F3_s4.bmp	_F2_s4.bmp	1710	7	7	1
34.269	5.283	3	UnrN	T3_chill.bmp	T0_hawk.bmp	1163	8	8	1
39.552	5.299	1	HighY	T3_thin.bmp	T0_fat.bmp	1416	7	7	1
44.851	5.3	1	HighY	T3_sketch.bmp	T0_draw.bmp	1244	7	7	1
50.151	5.299	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1585	7	7	1
55.45	4.783	1	HighY	T3_dog.bmp	T2_cat.bmp	1687	7	7	1
60.233	4.799	2	LowY	T3_guide.bmp	T1_tour.bmp	2878	7	7	1
65.032	4.816	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1774	8	8	1
69.848	5.799	3	UnrN	T3_adult.bmp	T0_pond.bmp	1159	8	8	1
75.647	5.783	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1544	7	7	1
81.43	5.799	2	LowY	T3_reef.bmp	T0_coral.bmp	1106	7	7	1
87.229	5.8	5	PercY	_F3_e6.bmp	_F1_e6.bmp	1154	7	7	1
93.029	5.799	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1164	8	8	1
98.828	4.782	1	HighY	T3_little.bmp	T1_big.bmp	2228	7	7	1
103.61	4.8	2	LowY	T3_motion.bmp	T1_movement.bmp	1437	7	7	1
108.41	4.799	3	UnrN	T3_hoof.bmp	T0_stitch.bmp	1141	8	8	1
113.209	5.783	2	LowY	T3_salad.bmp	T0_lettuce.bmp	1558	7	7	1
118.992	5.299	2	LowY	T3_lip.bmp	T1_kiss.bmp	1191	7	7	1
124.291	5.299	2	LowY	T3_shout.bmp	T1_yell.bmp	1124	7	7	1
129.59	5.3	1	HighY	T3_dime.bmp	T0_nickel.bmp	1137	7	7	1
134.89	5.282	5	PercY	_F3_o4.bmp	_F2_o4.bmp	1101	7	7	1
140.172	4.8	3	UnrN	T3_cream.bmp	T2_grip.bmp	1115	8	8	1
144.972	5.282	3	UnrN	T3_trust.bmp	T2_dozen.bmp	1179	8	8	1
150.254	4.8	3	UnrN	T3_sailing.bmp	T2_nest.bmp	1113	8	8	1
155.054	4.782	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1185	8	8	1
159.836	4.8	3	UnrN	T3_pigeon.bmp	T1_gamble.bmp	1171	8	8	1
164.636	4.799	2	LowY	T3_maple.bmp	T2_syrup.bmp	1299	7	7	1
169.435	5.799	2	LowY	T3_hop.bmp	T0_skip.bmp	1236	7	7	1
175.234	5.283	6	PercN	_F3_f6.bmp	_F1_d6.bmp	1109	8	8	1
180.517	4.8	6	PercN	_F3_d4.bmp	_F0_o4.bmp	1458	8	8	1
185.317	5.799	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1235	8	8	1
191.116	5.816	3	UnrN	T3_blanket.bmp	T1_split.bmp	1171	8	8	1
196.932	4.782	1	HighY	T3_yours.bmp	T1_mine.bmp	1628	7	7	1
201.714	5.8	3	UnrN	T3_corn.bmp	T1_blame.bmp	1173	8	8	1
207.514	5.299	3	UnrN	T3_hunter.bmp	T2_lemon.bmp	1141	8	8	1
212.813	5.299	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	2322	7	7	1
218.112	4.783	6	PercN	_F3_b6.bmp	_F1_f6.bmp	1735	8	8	1
222.895	5.799	1	HighY	T3_prison.bmp	T2_jail.bmp	1288	7	7	1
228.694	4.8	2	LowY	T3_hoot.bmp	T2_owl.bmp	1257	7	7	1
