onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.511	5.799	6	PercN	_F3_f4.bmp	_F2_d4.bmp	841	8	8	1
7.31	5.816	2	OnPy	T3_fall.bmp	T1_crawl.bmp	1074	7	7	1
13.126	4.8	4	OnPn	T3_gross.bmp	T1_post.bmp	1610	7	8	0
17.926	4.782	2	OnPy	T3_tense.bmp	T0_fence.bmp	1578	7	7	1
22.708	5.3	2	OnPy	T3_soup.bmp	T1_loop.bmp	1180	7	7	1
28.008	5.299	6	PercN	_F3_e4.bmp	_F0_s4.bmp	984	8	8	1
33.307	4.799	6	PercN	_F3_b4.bmp	_F0_f4.bmp	973	8	8	1
38.106	5.316	4	OnPn	T3_pool.bmp	T2_tooth.bmp	1606	8	8	1
43.422	5.8	4	OnPn	T3_both.bmp	T2_stroke.bmp	2898	7	8	0
49.222	4.799	1	OyPy	T3_quart.bmp	T1_wart.bmp	1131	7	7	1
54.021	5.299	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	915	7	7	1
59.32	5.316	5	PercY	_F3_d4.bmp	_F0_d4.bmp	896	7	7	1
64.636	5.816	5	PercY	_F3_e4.bmp	_F2_e4.bmp	924	7	7	1
70.452	4.8	3	OyPn	T3_smooth.bmp	T0_tooth.bmp	2532	8	8	1
75.252	4.799	2	OnPy	T3_stool.bmp	T1_rule.bmp	1285	8	7	0
80.051	5.299	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1053	8	8	1
85.35	5.3	4	OnPn	T3_flight.bmp	T0_threat.bmp	1194	8	8	1
90.65	5.316	2	OnPy	T3_bluff.bmp	T2_tough.bmp	942	7	7	1
95.966	5.799	6	PercN	_F3_s4.bmp	_F1_e4.bmp	1467	8	8	1
101.765	5.799	2	OnPy	T3_halt.bmp	T0_fault.bmp	1187	7	7	1
107.564	4.799	4	OnPn	T3_dried.bmp	T1_stood.bmp	1300	8	8	1
112.363	4.8	1	OyPy	T3_brow.bmp	T2_cow.bmp	1101	7	7	1
117.163	5.816	1	OyPy	T3_goat.bmp	T1_float.bmp	1045	7	7	1
122.979	4.799	1	OyPy	T3_glide.bmp	T2_bride.bmp	1077	7	7	1
127.778	5.299	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	998	7	7	1
133.077	4.8	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	899	8	8	1
137.877	5.799	3	OyPn	T3_plead.bmp	T2_spread.bmp	1203	8	8	1
143.676	4.816	5	PercY	_F3_d6.bmp	_F1_d6.bmp	836	7	7	1
148.492	5.283	2	OnPy	T3_roast.bmp	T2_ghost.bmp	836	7	7	1
153.775	4.799	5	PercY	_F3_e6.bmp	_F2_e6.bmp	913	7	7	1
158.574	5.799	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	930	8	8	1
164.373	5.8	2	OnPy	T3_odd.bmp	T0_rod.bmp	747	7	7	1
170.173	5.316	1	OyPy	T3_spoon.bmp	T1_noon.bmp	820	7	7	1
175.489	5.799	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	760	7	7	1
181.288	4.799	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	736	7	7	1
186.087	4.8	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	817	7	7	1
190.887	5.816	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	938	8	8	1
196.703	4.816	3	OyPn	T3_breath.bmp	T0_wreath.bmp	2105	8	8	1
201.519	5.299	1	OyPy	T3_neat.bmp	T2_wheat.bmp	1194	7	7	1
206.818	5.799	3	OyPn	T3_mouth.bmp	T1_youth.bmp	3006	8	8	1
212.617	5.799	1	OyPy	T3_toss.bmp	T0_moss.bmp	886	7	7	1
218.416	5.3	5	PercY	_F3_f6.bmp	_F1_f6.bmp	840	7	7	1
223.716	5.816	4	OnPn	T3_rule.bmp	T0_blur.bmp	1107	8	8	1
229.532	5.299	3	OyPn	T3_tomb.bmp	T2_comb.bmp	2859	7	8	0
234.831	5.799	5	PercY	_F3_o6.bmp	_F0_o6.bmp	1273	7	7	1
240.63	4.8	4	OnPn	T3_june.bmp	T1_loop.bmp	1073	8	8	1
245.43	5.299	2	OnPy	T3_warm.bmp	T2_form.bmp	1932	7	7	1
