onset	duration	trial_type
0.547	0.5	neutral
5.745	0.5	incongruent
8.078	0.5	incongruent
15.725	0.5	congruent
20.64	0.5	congruent
22.923	0.5	incongruent
30.37	0.5	congruent
33.119	0.5	incongruent
35.368	0.5	neutral
40.183	0.5	congruent
42.649	0.5	neutral
45.315	0.5	incongruent
48.081	0.5	incongruent
50.58	0.5	incongruent
53.012	0.5	neutral
55.728	0.5	neutral
60.826	0.5	neutral
63.458	0.5	neutral
66.041	0.5	incongruent
70.923	0.5	incongruent
73.472	0.5	neutral
75.871	0.5	incongruent
78.637	0.5	neutral
81.336	0.5	incongruent
83.835	0.5	neutral
91.599	0.5	neutral
94.298	0.5	incongruent
101.995	0.5	congruent
109.609	0.5	neutral
111.925	0.5	incongruent
114.541	0.5	congruent
116.923	0.5	incongruent
119.189	0.5	neutral
124.437	0.5	congruent
129.286	0.5	congruent
131.835	0.5	neutral
134.184	0.5	incongruent
136.65	0.5	neutral
139.099	0.5	congruent
141.398	0.5	incongruent
143.697	0.5	congruent
146.38	0.5	incongruent
149.045	0.5	neutral
151.578	0.5	congruent
156.426	0.5	congruent
159.008	0.5	congruent
161.458	0.5	neutral
166.473	0.5	incongruent
171.387	0.5	neutral
174.137	0.5	neutral
179.101	0.0	error
181.351	0.5	congruent
183.767	0.5	congruent
186.332	0.5	neutral
188.665	0.5	congruent
191.381	0.5	neutral
196.262	0.0	error
198.995	0.5	incongruent
201.644	0.0	error
204.276	0.5	incongruent
206.975	0.5	congruent
212.157	0.5	incongruent
214.539	0.5	congruent
216.788	0.5	neutral
219.088	0.5	neutral
221.87	0.0	error
229.65	0.5	congruent
232.183	0.5	neutral
234.482	0.5	neutral
236.915	0.5	incongruent
241.813	0.5	congruent
244.279	0.0	error
249.294	0.5	congruent
257.008	0.5	incongruent
259.44	0.5	congruent
264.522	0.5	neutral
267.154	0.5	incongruent
269.487	0.5	congruent
272.119	0.5	neutral
274.701	0.5	congruent
276.984	0.5	neutral
279.733	0.5	incongruent
282.432	0.5	incongruent
287.48	0.5	incongruent
292.595	0.5	congruent
295.311	0.5	neutral
297.71	0.5	congruent
302.575	0.0	error
305.207	0.5	neutral
307.54	0.5	incongruent
309.972	0.5	congruent
314.954	0.5	congruent
317.203	0.5	incongruent
319.869	0.5	incongruent
322.351	0.5	congruent
327.6	0.5	incongruent
329.899	0.5	congruent
332.315	0.5	neutral
334.914	0.5	neutral
337.48	0.5	congruent
342.494	0.5	incongruent
345.227	0.5	neutral
350.325	0.5	incongruent
355.473	0.5	congruent
357.889	0.5	neutral
360.222	0.5	congruent
365.103	0.5	neutral
367.752	0.5	incongruent
375.083	0.5	neutral
377.699	0.0	error
380.148	0.5	congruent
382.847	0.5	congruent
385.113	0.5	neutral
387.812	0.5	incongruent
390.211	0.5	neutral
392.977	0.5	incongruent
395.526	0.5	incongruent
398.125	0.5	congruent
400.591	0.0	error
