onset	duration	sample	value
0.640625	n/a	328	65284
18.25195312	n/a	9345	65285
318.2460938	n/a	162942	65286
413.4082031	n/a	211665	65281
417.6191406	n/a	213821	65282
422.6191406	n/a	216381	65283
427.6191406	n/a	218941	65284
477.2988281	n/a	244377	65281
481.9707031	n/a	246769	65282
486.9726562	n/a	249330	65283
491.9726562	n/a	251890	65284
537.6191406	n/a	275261	65281
542.2675781	n/a	277641	65282
547.2695312	n/a	280202	65283
552.2695312	n/a	282762	65284
570.7246094	n/a	292211	65281
575.2128906	n/a	294509	65282
580.2128906	n/a	297069	65283
585.2128906	n/a	299629	65284
608.9394531	n/a	311777	65281
613.0097656	n/a	313861	65282
618.0117188	n/a	316422	65283
623.0117188	n/a	318982	65284
644.5839844	n/a	330027	65281
649.0097656	n/a	332293	65282
654.0097656	n/a	334853	65283
659.0097656	n/a	337413	65284
676.8183594	n/a	346531	65281
681.0722656	n/a	348709	65282
686.0722656	n/a	351269	65283
691.0722656	n/a	353829	65284
713.71875	n/a	365424	65281
718.5917969	n/a	367919	65282
723.5917969	n/a	370479	65283
728.5917969	n/a	373039	65284
752.3085938	n/a	385182	65281
756.5839844	n/a	387371	65282
761.5839844	n/a	389931	65283
766.5839844	n/a	392491	65284
796.2070312	n/a	407658	65281
800.6816406	n/a	409949	65282
805.6816406	n/a	412509	65283
810.6816406	n/a	415069	65284
825.5039062	n/a	422658	65281
830.3242188	n/a	425126	65282
835.3261719	n/a	427687	65283
840.3261719	n/a	430247	65284
858.9257812	n/a	439770	65281
863.6074219	n/a	442167	65282
868.609375	n/a	444728	65283
873.609375	n/a	447288	65284
884.6289062	n/a	452930	65281
889.0390625	n/a	455188	65282
894.0390625	n/a	457748	65283
899.0390625	n/a	460308	65284
913.5273438	n/a	467726	65281
917.7675781	n/a	469897	65282
922.7695312	n/a	472458	65283
927.7675781	n/a	475017	65284
937.9453125	n/a	480228	65281
942.140625	n/a	482376	65282
947.1425781	n/a	484937	65283
952.1425781	n/a	487497	65284
964.6308594	n/a	493891	65281
969.0644531	n/a	496161	65282
974.0664062	n/a	498722	65283
979.0664062	n/a	501282	65284
997.2089844	n/a	510571	65281
1001.216797	n/a	512623	65282
1006.21875	n/a	515184	65283
1011.21875	n/a	517744	65284
1035.095703	n/a	529969	65281
1039.542969	n/a	532246	65282
1044.544922	n/a	534807	65283
1049.544922	n/a	537367	65284
1062.533203	n/a	544017	65281
1067.396484	n/a	546507	65282
1072.398438	n/a	549068	65283
1077.398438	n/a	551628	65284
1092.486328	n/a	559353	65281
1096.757812	n/a	561540	65282
1101.757812	n/a	564100	65283
1106.757812	n/a	566660	65284
1117.404297	n/a	572111	65281
1121.875	n/a	574400	65282
1126.876953	n/a	576961	65283
1131.875	n/a	579520	65284
1153.509766	n/a	590597	65281
1157.736328	n/a	592761	65282
1162.736328	n/a	595321	65283
1167.736328	n/a	597881	65284
1178.441406	n/a	603362	65281
1183.269531	n/a	605834	65282
1188.269531	n/a	608394	65283
1193.269531	n/a	610954	65284
1210.222656	n/a	619634	65281
1215.074219	n/a	622118	65282
1220.076172	n/a	624679	65283
1225.076172	n/a	627239	65284
1237.626953	n/a	633665	65281
1242.373047	n/a	636095	65282
1247.373047	n/a	638655	65283
1252.373047	n/a	641215	65284
1270.976562	n/a	650740	65281
1275.080078	n/a	652841	65282
1280.082031	n/a	655402	65283
1285.082031	n/a	657962	65284
1299.914062	n/a	665556	65281
1304.810547	n/a	668063	65282
