onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	1	4	2.1654391810298	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	1	1	2.8710124050267	1	1	1	0	0	0	1	0	0	1	0	1
26	5	1	2	8	2.18432721099816	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	1	2	1.5456728017889	1	1	0	0	1	0	0	0	0	1	0	0
50	5	1	2	6	3.8741771611385	2	1	1	0	1	1	1	1	1	1	0	1
62	5	0	2	7	4.05941702798009	1	0	1	0	1	1	1	1	1	1	1	1
74	5	0	1	3	2.65269861905836	1	1	0	0	1	1	0	0	0	0	0	0
86	5	1	2	8	1.39020774606615	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	1	3	1.79946517082863	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	8	n/a	n/a	0	0	1	1	1	0	0	1	1	1	1
122	5	0	1	4	1.50534527795389	1	1	0	0	0	0	0	0	1	1	0	0
134	5	1	1	2	3.15537035302259	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	6	1.45304894796573	2	1	1	1	1	1	1	1	1	1	0	1
158	5	1	1	4	1.58221322810277	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	6	1.36695944983512	1	0	0	0	1	1	0	0	1	0	1	0
182	5	0	2	8	1.19942902587354	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	1	2.07276802207343	2	0	1	1	1	1	0	1	0	1	1	1
206	5	0	1	0	1.14764592703432	2	0	1	0	1	0	0	0	0	0	0	0
218	5	0	2	9	1.2122447041329	2	1	0	0	0	0	0	0	0	0	0	1
230	5	1	2	6	2.87028026999906	2	1	1	1	0	1	1	1	0	1	1	1
