onset	duration	trial_type	response_time
8.3606	0.7488	cue_reward	n/a
8.3606	2.749	anticipation_reward	n/a
9.1098	2.0002	isi_reward	n/a
11.11	0.2633	target	n/a
11.6505	0.9759	feedback_negative_reward	n/a
15.1275	0.7488	cue_reward	n/a
15.1275	2.7492	anticipation_reward	n/a
15.8765	2.0004	isi_reward	n/a
17.877	0.3633	target	0.3501
18.4173	0.976	feedback_positive_reward	n/a
22.8939	0.7494	cue_reward	n/a
22.8939	2.2495	anticipation_reward	n/a
23.6435	1.5001	isi_reward	n/a
25.1437	0.3133	target	0.3004
25.6727	0.98740000000000006	feedback_positive_reward	n/a
31.6609	0.7488	cue_neutral	n/a
31.6609	2.2496	anticipation_neutral	n/a
32.4098	1.5009	isi_neutral	n/a
33.9108	0.3133	target	0.3002
34.4349	0.992	feedback_positive_neutral	n/a
37.4271	0.7494	cue_neutral	n/a
37.4271	3.2496	anticipation_neutral	n/a
38.1768	2.5002	isi_neutral	n/a
40.677	0.2633	target	0.2501
41.183	0.9941	feedback_positive_neutral	n/a
46.1776	0.7496	cue_reward	n/a
46.1776	2.7493	anticipation_reward	n/a
46.9275	1.9996	isi_reward	n/a
48.9272	0.2633	target	0.2502
49.4511	0.9927	feedback_positive_reward	n/a
53.9443	0.7488	cue_reward	n/a
53.9443	3.7492	anticipation_reward	n/a
54.6933	3.0004	isi_reward	n/a
57.6939	0.2133	target	0.1998
58.2164	0.9943	feedback_positive_reward	n/a
62.7113	0.7491	cue_neutral	n/a
62.7113	2.2492	anticipation_neutral	n/a
63.4606	1.5001	isi_neutral	n/a
64.9608	0.2133	target	0.2003
65.4846	0.9927	feedback_positive_neutral	n/a
68.4781	0.7492	cue_neutral	n/a
68.4781	2.749	anticipation_neutral	n/a
69.2275	1.9999	isi_neutral	n/a
71.2274	0.1633	target	n/a
71.7369	0.9907	feedback_negative_neutral	n/a
75.2281	0.7491	cue_reward	n/a
75.2281	2.2493	anticipation_reward	n/a
75.9774	1.5001	isi_reward	n/a
77.4776	0.2133	target	0.2
77.9974	0.9803	feedback_positive_reward	n/a
81.9781	0.7491	cue_neutral	n/a
81.9781	2.2492	anticipation_neutral	n/a
82.7275	1.5001	isi_neutral	n/a
84.2277	0.2133	target	0.2004
84.76	0.9845	feedback_positive_neutral	n/a
88.7447	0.7493	cue_neutral	n/a
88.7447	2.7494	anticipation_neutral	n/a
89.4942	2.0001	isi_neutral	n/a
91.4945	0.18	target	n/a
92.0195	0.9915	feedback_negative_neutral	n/a
98.5112	0.7496	cue_neutral	n/a
98.5112	2.2499	anticipation_neutral	n/a
99.261	1.5003	isi_neutral	n/a
100.7614	0.2133	target	0.2003
101.2881	0.9896	feedback_positive_neutral	n/a
104.278	0.7493	cue_neutral	n/a
104.278	2.2495	anticipation_neutral	n/a
