onset	duration	trial_type
17.86869	0.033	promismatch_yoked
58.03303	0.033	promismatch_yoked
68.66745	0.033	promismatch_yoked
72.06006	0.033	promismatch_yoked
100.597	0.033	promismatch_yoked
105.4395	0.033	promismatch_yoked
226.3646	0.033	promismatch_yoked
278.7304	0.033	promismatch_yoked
284.5315	0.033	promismatch_yoked
288.8819	0.033	promismatch_yoked
289.8488	0.033	promismatch_yoked
339.1891	0.033	promismatch_yoked
390.4632	0.033	promismatch_yoked
403.0316	0.033	promismatch_yoked
424.7928	0.033	promismatch_yoked
432.5355	0.033	promismatch_yoked
456.7141	0.033	promismatch_yoked
460.5812	0.033	promismatch_yoked
482.8177	0.033	promismatch_yoked
500.2284	0.033	promismatch_yoked
20.77742	0.033	promismatch
23.6778	0.033	promismatch
51.74009	0.033	promismatch
64.31685	0.033	promismatch
65.28365	0.033	promismatch
70.11762	0.033	promismatch
74.47666	0.033	promismatch
84.62854	0.033	promismatch
116.5575	0.033	promismatch
125.7422	0.033	promismatch
140.2944	0.033	promismatch
142.2278	0.033	promismatch
156.7382	0.033	promismatch
161.5723	0.033	promismatch
164.473	0.033	promismatch
177.5247	0.033	promismatch
185.7423	0.033	promismatch
221.531	0.033	promismatch
246.3343	0.033	promismatch
265.6704	0.033	promismatch
294.6831	0.033	promismatch
307.2763	0.033	promismatch
327.579	0.033	promismatch
333.8715	0.033	promismatch
346.4485	0.033	promismatch
363.3675	0.033	promismatch
367.7186	0.033	promismatch
413.6663	0.033	promismatch
427.6932	0.033	promismatch
436.8862	0.033	promismatch
467.3488	0.033	promismatch
470.2494	0.033	promismatch
476.05	0.033	promismatch
502.1621	0.033	promismatch
505.0625	0.033	promismatch
513.772	0.033	promismatch
522.4815	0.033	promismatch
526.8324	0.033	promismatch
535.5332	0.033	promismatch
538.9172	0.033	promismatch
46.10618	0.033	red
50.95676	0.033	red
91.10437	0.033	red
204.3038	0.033	red
237.1834	0.033	red
305.0344	0.033	red
332.5964	0.033	red
361.1339	0.033	red
463.1816	0.033	red
514.9222	0.033	red
529.4326	0.033	red
531.8498	0.033	red
