onset	duration	trial_type
0	7.5	Fixation
7.5	15	Objects
22.5	15	Scrambled
37.5	15	Objects
52.5	15	Scenes
67.5	15	Scrambled
82.5	15	Scenes
97.5	15	Objects
112.5	15	Scrambled
127.5	15	Objects
142.5	15	Scenes
157.5	7.5	Fixation
165	15	Scrambled
180	15	Objects
195	7.5	Fixation
202.5	15	Objects
217.5	15	Scenes
232.5	7.5	Fixation
240	15	Scenes
255	15	Scrambled
270	15	Scenes
285	15	Scrambled
300	7.5	Fixation
307.5	15	Scrambled
322.5	7.5	Fixation
330	15	Scrambled
345	7.5	Fixation
352.5	15	Scenes
367.5	15	Objects
382.5	7.5	Fixation
390	15	Scenes
405	15	Objects
420	7.5	Fixation
427.5	7.5	Fixation
435	7.5	Fixation
