onset	duration	trial_type
4.5	0.5	Image_34
7.5	0.5	Image_222
10.5	0.5	Image_177
13.5	0.5	Image_163
16.5	0.5	Catch
19.5	0.5	Image_189
22.5	0.5	Image_152
25.5	0.5	Image_116
28.5	0.5	Image_103
31.5	0.5	Image_90
34.5	0.5	Catch
37.5	0.5	Image_199
40.5	0.5	Image_184
43.5	0.5	Image_223
46.5	0.5	Catch
49.5	0.5	Image_57
52.5	0.5	Image_72
55.5	0.5	Image_119
58.5	0.5	Image_20
61.5	0.5	Catch
64.5	0.5	Image_89
67.5	0.5	Image_42
70.5	0.5	Image_192
73.5	0.5	Image_62
76.5	0.5	Image_167
79.5	0.5	Catch
82.5	0.5	Image_124
85.5	0.5	Image_204
88.5	0.5	Image_91
91.5	0.5	Catch
94.5	0.5	Image_85
97.5	0.5	Image_233
100.5	0.5	Image_207
103.5	0.5	Image_115
106.5	0.5	Catch
109.5	0.5	Image_202
112.5	0.5	Image_174
115.5	0.5	Image_18
118.5	0.5	Image_232
121.5	0.5	Catch
124.5	0.5	Image_117
127.5	0.5	Image_143
130.5	0.5	Image_7
133.5	0.5	Catch
136.5	0.5	Image_77
139.5	0.5	Image_14
142.5	0.5	Image_88
145.5	0.5	Image_56
148.5	0.5	Image_96
151.5	0.5	Catch
154.5	0.5	Image_159
157.5	0.5	Image_237
160.5	0.5	Image_149
163.5	0.5	Image_150
166.5	0.5	Catch
169.5	0.5	Image_5
172.5	0.5	Image_188
175.5	0.5	Image_15
178.5	0.5	Image_61
181.5	0.5	Image_99
184.5	0.5	Catch
187.5	0.5	Image_140
190.5	0.5	Image_81
193.5	0.5	Image_165
196.5	0.5	Image_65
199.5	0.5	Catch
202.5	0.5	Image_74
205.5	0.5	Image_211
208.5	0.5	Image_229
211.5	0.5	Image_24
214.5	0.5	Catch
217.5	0.5	Image_11
220.5	0.5	Image_35
223.5	0.5	Image_173
226.5	0.5	Image_6
229.5	0.5	Image_219
232.5	0.5	Catch
235.5	0.5	Image_172
238.5	0.5	Image_141
241.5	0.5	Image_155
244.5	0.5	Image_182
247.5	0.5	Image_105
250.5	0.5	Catch
253.5	0.5	Image_209
256.5	0.5	Image_120
259.5	0.5	Image_49
262.5	0.5	Catch
265.5	0.5	Image_240
268.5	0.5	Image_196
271.5	0.5	Image_23
274.5	0.5	Catch
277.5	0.5	Image_63
280.5	0.5	Image_66
283.5	0.5	Image_101
286.5	0.5	Catch
289.5	0.5	Image_80
292.5	0.5	Image_160
295.5	0.5	Image_9
298.5	0.5	Image_197
301.5	0.5	Image_97
304.5	0.5	Catch
307.5	0.5	Image_215
310.5	0.5	Image_200
313.5	0.5	Image_108
316.5	0.5	Catch
319.5	0.5	Image_151
322.5	0.5	Image_230
325.5	0.5	Image_220
328.5	0.5	Image_185
331.5	0.5	Catch
334.5	0.5	Image_134
337.5	0.5	Image_144
340.5	0.5	Image_51
343.5	0.5	Image_31
346.5	0.5	Image_183
349.5	0.5	Catch
352.5	0.5	Image_239
355.5	0.5	Image_228
358.5	0.5	Image_225
361.5	0.5	Image_41
364.5	0.5	Catch
367.5	0.5	Image_221
370.5	0.5	Image_55
373.5	0.5	Image_10
376.5	0.5	Image_154
379.5	0.5	Catch
382.5	0.5	Image_54
385.5	0.5	Image_136
388.5	0.5	Image_201
391.5	0.5	Catch
394.5	0.5	Image_208
397.5	0.5	Image_25
400.5	0.5	Image_59
403.5	0.5	Image_195
406.5	0.5	Image_179
409.5	0.5	Catch
412.5	0.5	Image_186
415.5	0.5	Image_82
418.5	0.5	Image_111
421.5	0.5	Image_213
424.5	0.5	Image_78
427.5	0.5	Catch
430.5	0.5	Image_113
433.5	0.5	Image_123
436.5	0.5	Image_69
439.5	0.5	Catch
442.5	0.5	Image_180
445.5	0.5	Image_158
448.5	0.5	Image_214
451.5	0.5	Catch
454.5	0.5	Image_48
