onset	duration	trial_type
15.0	1.0	Faces
16.0	1.0	Faces
17.0	1.0	Faces
18.0	1.0	Faces
19.0	1.0	Faces
20.0	1.0	Faces
21.0	1.0	Faces
22.0	1.0	Faces
23.0	1.0	Faces
24.0	1.0	Faces
25.0	1.0	Faces
26.0	1.0	Faces
27.0	1.0	Faces
28.0	1.0	Faces
29.0	1.0	Faces
30.0	1.0	Buildings
31.0	1.0	Buildings
32.0	1.0	Buildings
33.0	1.0	Buildings
34.0	1.0	Buildings
35.0	1.0	Buildings
36.0	1.0	Buildings
37.0	1.0	Buildings
38.0	1.0	Buildings
39.0	1.0	Buildings
40.0	1.0	Buildings
41.0	1.0	Buildings
42.0	1.0	Buildings
43.0	1.0	Buildings
44.0	1.0	Buildings
45.0	1.0	Objects
46.0	1.0	Objects
47.0	1.0	Objects
48.0	1.0	Objects
49.0	1.0	Objects
50.0	1.0	Objects
51.0	1.0	Objects
52.0	1.0	Objects
53.0	1.0	Objects
54.0	1.0	Objects
55.0	1.0	Objects
56.0	1.0	Objects
57.0	1.0	Objects
58.0	1.0	Objects
59.0	1.0	Objects
60.0	1.0	Scrambled
61.0	1.0	Scrambled
62.0	1.0	Scrambled
63.0	1.0	Scrambled
64.0	1.0	Scrambled
65.0	1.0	Scrambled
66.0	1.0	Scrambled
67.0	1.0	Scrambled
68.0	1.0	Scrambled
69.0	1.0	Scrambled
70.0	1.0	Scrambled
71.0	1.0	Scrambled
72.0	1.0	Scrambled
73.0	1.0	Scrambled
74.0	1.0	Scrambled
90.0	1.0	Objects
91.0	1.0	Objects
92.0	1.0	Objects
93.0	1.0	Objects
94.0	1.0	Objects
95.0	1.0	Objects
96.0	1.0	Objects
97.0	1.0	Objects
98.0	1.0	Objects
99.0	1.0	Objects
100.0	1.0	Objects
101.0	1.0	Objects
102.0	1.0	Objects
103.0	1.0	Objects
104.0	1.0	Objects
105.0	1.0	Scrambled
106.0	1.0	Scrambled
107.0	1.0	Scrambled
108.0	1.0	Scrambled
109.0	1.0	Scrambled
110.0	1.0	Scrambled
111.0	1.0	Scrambled
112.0	1.0	Scrambled
113.0	1.0	Scrambled
114.0	1.0	Scrambled
115.0	1.0	Scrambled
116.0	1.0	Scrambled
117.0	1.0	Scrambled
118.0	1.0	Scrambled
119.0	1.0	Scrambled
120.0	1.0	Faces
121.0	1.0	Faces
122.0	1.0	Faces
123.0	1.0	Faces
124.0	1.0	Faces
125.0	1.0	Faces
126.0	1.0	Faces
127.0	1.0	Faces
128.0	1.0	Faces
129.0	1.0	Faces
130.0	1.0	Faces
131.0	1.0	Faces
132.0	1.0	Faces
133.0	1.0	Faces
134.0	1.0	Faces
135.0	1.0	Buildings
136.0	1.0	Buildings
137.0	1.0	Buildings
138.0	1.0	Buildings
139.0	1.0	Buildings
140.0	1.0	Buildings
141.0	1.0	Buildings
142.0	1.0	Buildings
143.0	1.0	Buildings
144.0	1.0	Buildings
145.0	1.0	Buildings
146.0	1.0	Buildings
147.0	1.0	Buildings
148.0	1.0	Buildings
149.0	1.0	Buildings
165.0	1.0	Buildings
166.0	1.0	Buildings
167.0	1.0	Buildings
168.0	1.0	Buildings
169.0	1.0	Buildings
170.0	1.0	Buildings
171.0	1.0	Buildings
172.0	1.0	Buildings
173.0	1.0	Buildings
174.0	1.0	Buildings
175.0	1.0	Buildings
176.0	1.0	Buildings
177.0	1.0	Buildings
178.0	1.0	Buildings
179.0	1.0	Buildings
180.0	1.0	Scrambled
181.0	1.0	Scrambled
182.0	1.0	Scrambled
183.0	1.0	Scrambled
184.0	1.0	Scrambled
185.0	1.0	Scrambled
186.0	1.0	Scrambled
187.0	1.0	Scrambled
188.0	1.0	Scrambled
189.0	1.0	Scrambled
190.0	1.0	Scrambled
191.0	1.0	Scrambled
192.0	1.0	Scrambled
193.0	1.0	Scrambled
194.0	1.0	Scrambled
195.0	1.0	Objects
196.0	1.0	Objects
197.0	1.0	Objects
198.0	1.0	Objects
199.0	1.0	Objects
200.0	1.0	Objects
201.0	1.0	Objects
202.0	1.0	Objects
203.0	1.0	Objects
204.0	1.0	Objects
205.0	1.0	Objects
206.0	1.0	Objects
207.0	1.0	Objects
208.0	1.0	Objects
209.0	1.0	Objects
210.0	1.0	Faces
211.0	1.0	Faces
212.0	1.0	Faces
213.0	1.0	Faces
214.0	1.0	Faces
215.0	1.0	Faces
216.0	1.0	Faces
217.0	1.0	Faces
218.0	1.0	Faces
219.0	1.0	Faces
220.0	1.0	Faces
221.0	1.0	Faces
222.0	1.0	Faces
223.0	1.0	Faces
224.0	1.0	Faces
240.0	1.0	Scrambled
241.0	1.0	Scrambled
242.0	1.0	Scrambled
243.0	1.0	Scrambled
244.0	1.0	Scrambled
245.0	1.0	Scrambled
246.0	1.0	Scrambled
247.0	1.0	Scrambled
248.0	1.0	Scrambled
249.0	1.0	Scrambled
250.0	1.0	Scrambled
251.0	1.0	Scrambled
252.0	1.0	Scrambled
253.0	1.0	Scrambled
254.0	1.0	Scrambled
255.0	1.0	Faces
256.0	1.0	Faces
257.0	1.0	Faces
258.0	1.0	Faces
259.0	1.0	Faces
260.0	1.0	Faces
261.0	1.0	Faces
262.0	1.0	Faces
263.0	1.0	Faces
264.0	1.0	Faces
265.0	1.0	Faces
266.0	1.0	Faces
267.0	1.0	Faces
268.0	1.0	Faces
269.0	1.0	Faces
270.0	1.0	Objects
271.0	1.0	Objects
272.0	1.0	Objects
273.0	1.0	Objects
274.0	1.0	Objects
275.0	1.0	Objects
276.0	1.0	Objects
277.0	1.0	Objects
278.0	1.0	Objects
279.0	1.0	Objects
280.0	1.0	Objects
281.0	1.0	Objects
282.0	1.0	Objects
283.0	1.0	Objects
284.0	1.0	Objects
285.0	1.0	Buildings
286.0	1.0	Buildings
287.0	1.0	Buildings
288.0	1.0	Buildings
289.0	1.0	Buildings
290.0	1.0	Buildings
291.0	1.0	Buildings
292.0	1.0	Buildings
293.0	1.0	Buildings
294.0	1.0	Buildings
295.0	1.0	Buildings
296.0	1.0	Buildings
297.0	1.0	Buildings
298.0	1.0	Buildings
299.0	1.0	Buildings
