onset	duration	trial_type	braille_stimulus	targets	response_count
2.011	2.008	CUE_6_DOT	n/a	n/a	n/a
7.011	1.008	FIXCROSS	n/a	n/a	n/a
8.028	5.008	6_DOT_DETECTION	USLLM	0	n/a
13.061	1.008	FIXCROSS	n/a	n/a	n/a
14.077	5.009	6_DOT_DETECTION	BAŁ#Ł	1	n/a
15.936	n/a	RESPONSE	n/a	n/a	1/1
19.111	1.008	FIXCROSS	n/a	n/a	n/a
20.128	5.009	6_DOT_DETECTION	#IŁPM	1	n/a
21.136	n/a	RESPONSE	n/a	n/a	1/1
25.162	1.008	FIXCROSS	n/a	n/a	n/a
26.178	5.008	6_DOT_DETECTION	BAT##	2	n/a
28.736	n/a	RESPONSE	n/a	n/a	1/2
29.856	n/a	RESPONSE	n/a	n/a	2/2
31.212	1.008	FIXCROSS	n/a	n/a	n/a
32.228	5.008	6_DOT_DETECTION	LACIC	0	n/a
37.262	1.008	FIXCROSS	n/a	n/a	n/a
38.278	5.008	6_DOT_DETECTION	I#YUK	1	n/a
43.312	1.008	FIXCROSS	n/a	n/a	n/a
44.328	5.009	6_DOT_DETECTION	IDY#K	1	n/a
46.656	n/a	RESPONSE	n/a	n/a	1/1
49.362	1.008	FIXCROSS	n/a	n/a	n/a
50.378	5.008	6_DOT_DETECTION	I#TUL	1	n/a
53.8	n/a	RESPONSE	n/a	n/a	1/1
57.42	2.008	CUE_REST	n/a	n/a	n/a
62.42	1.008	FIXCROSS	n/a	n/a	n/a
68.47	1.008	FIXCROSS	n/a	n/a	n/a
75.528	2.008	CUE_6_DOT	n/a	n/a	n/a
80.528	1.008	FIXCROSS	n/a	n/a	n/a
81.545	5.008	6_DOT_DETECTION	#CYK#	2	n/a
82.44	n/a	RESPONSE	n/a	n/a	1/2
85.32	n/a	RESPONSE	n/a	n/a	2/2
86.578	1.008	FIXCROSS	n/a	n/a	n/a
87.594	5.009	6_DOT_DETECTION	BOI##	2	n/a
89.576	n/a	RESPONSE	n/a	n/a	1/2
90.76	n/a	RESPONSE	n/a	n/a	2/2
92.628	1.008	FIXCROSS	n/a	n/a	n/a
93.644	5.009	6_DOT_DETECTION	PM#LA	1	n/a
95.36	n/a	RESPONSE	n/a	n/a	1/1
98.678	1.008	FIXCROSS	n/a	n/a	n/a
99.694	5.009	6_DOT_DETECTION	O#KUP	1	n/a
101.096	n/a	RESPONSE	n/a	n/a	1/1
104.728	1.008	FIXCROSS	n/a	n/a	n/a
105.745	5.008	6_DOT_DETECTION	#PSY#	2	n/a
108.136	n/a	RESPONSE	n/a	n/a	1/2
110.056	n/a	RESPONSE	n/a	n/a	2/2
110.778	1.008	FIXCROSS	n/a	n/a	n/a
111.794	5.009	6_DOT_DETECTION	IE##T	2	n/a
113.416	n/a	RESPONSE	n/a	n/a	1/2
114.456	n/a	RESPONSE	n/a	n/a	2/2
116.828	1.008	FIXCROSS	n/a	n/a	n/a
117.845	5.008	6_DOT_DETECTION	##ŁAT	2	n/a
119.0	n/a	RESPONSE	n/a	n/a	1/2
120.12	n/a	RESPONSE	n/a	n/a	2/2
122.878	1.008	FIXCROSS	n/a	n/a	n/a
123.895	5.008	6_DOT_DETECTION	IEYYŁ	0	n/a
126.0	n/a	RESPONSE	n/a	n/a	1/0
127.52	n/a	RESPONSE	n/a	n/a	2/0
130.437	2.008	CUE_REST	n/a	n/a	n/a
136.937	1.008	FIXCROSS	n/a	n/a	n/a
142.987	1.008	FIXCROSS	n/a	n/a	n/a
150.545	2.008	CUE_6_DOT	n/a	n/a	n/a
157.045	1.008	FIXCROSS	n/a	n/a	n/a
158.061	5.009	6_DOT_DETECTION	PUŁTM	0	n/a
163.095	1.008	FIXCROSS	n/a	n/a	n/a
164.112	5.008	6_DOT_DETECTION	PAS##	2	n/a
166.216	n/a	RESPONSE	n/a	n/a	1/2
167.456	n/a	RESPONSE	n/a	n/a	2/2
169.145	1.008	FIXCROSS	n/a	n/a	n/a
170.162	5.008	6_DOT_DETECTION	#SIŁ#	2	n/a
171.056	n/a	RESPONSE	n/a	n/a	1/2
173.632	n/a	RESPONSE	n/a	n/a	2/2
175.195	1.008	FIXCROSS	n/a	n/a	n/a
176.212	5.008	6_DOT_DETECTION	#SOS#	2	n/a
177.576	n/a	RESPONSE	n/a	n/a	1/2
179.352	n/a	RESPONSE	n/a	n/a	2/2
181.245	1.008	FIXCROSS	n/a	n/a	n/a
182.262	5.008	6_DOT_DETECTION	##TOM	2	n/a
182.952	n/a	RESPONSE	n/a	n/a	1/2
183.872	n/a	RESPONSE	n/a	n/a	2/2
187.295	1.008	FIXCROSS	n/a	n/a	n/a
188.311	5.009	6_DOT_DETECTION	LLCSO	0	n/a
193.345	1.008	FIXCROSS	n/a	n/a	n/a
194.362	5.008	6_DOT_DETECTION	LUD#A	1	n/a
196.472	n/a	RESPONSE	n/a	n/a	1/1
199.395	1.008	FIXCROSS	n/a	n/a	n/a
200.412	5.008	6_DOT_DETECTION	##ALE	2	n/a
201.432	n/a	RESPONSE	n/a	n/a	1/2
202.216	n/a	RESPONSE	n/a	n/a	2/2
206.954	2.008	CUE_REST	n/a	n/a	n/a
211.454	1.008	FIXCROSS	n/a	n/a	n/a
217.504	1.008	FIXCROSS	n/a	n/a	n/a
225.562	2.008	CUE_6_DOT	n/a	n/a	n/a
231.562	1.008	FIXCROSS	n/a	n/a	n/a
232.579	5.008	6_DOT_DETECTION	ŁDKID	0	n/a
237.612	1.008	FIXCROSS	n/a	n/a	n/a
238.629	5.008	6_DOT_DETECTION	LIP##	2	n/a
240.992	n/a	RESPONSE	n/a	n/a	1/2
242.216	n/a	RESPONSE	n/a	n/a	2/2
243.662	1.008	FIXCROSS	n/a	n/a	n/a
244.679	5.008	6_DOT_DETECTION	TOP#C	1	n/a
247.496	n/a	RESPONSE	n/a	n/a	1/1
249.712	1.008	FIXCROSS	n/a	n/a	n/a
250.728	5.009	6_DOT_DETECTION	ŁL#BM	1	n/a
252.432	n/a	RESPONSE	n/a	n/a	1/1
255.762	1.008	FIXCROSS	n/a	n/a	n/a
256.778	5.009	6_DOT_DETECTION	##ŁOM	2	n/a
257.752	n/a	RESPONSE	n/a	n/a	1/2
258.896	n/a	RESPONSE	n/a	n/a	2/2
261.812	1.008	FIXCROSS	n/a	n/a	n/a
262.828	5.009	6_DOT_DETECTION	U#TŁA	1	n/a
264.112	n/a	RESPONSE	n/a	n/a	1/1
267.862	1.008	FIXCROSS	n/a	n/a	n/a
268.878	5.009	6_DOT_DETECTION	##BAS	2	n/a
269.952	n/a	RESPONSE	n/a	n/a	1/2
271.256	n/a	RESPONSE	n/a	n/a	2/2
273.912	1.008	FIXCROSS	n/a	n/a	n/a
274.928	5.009	6_DOT_DETECTION	PMSPB	0	n/a
281.97	2.008	CUE_REST	n/a	n/a	n/a
285.97	1.008	FIXCROSS	n/a	n/a	n/a
292.02	1.008	FIXCROSS	n/a	n/a	n/a
299.579	2.008	CUE_6_DOT	n/a	n/a	n/a
305.079	1.008	FIXCROSS	n/a	n/a	n/a
306.095	5.008	6_DOT_DETECTION	KOD#S	1	n/a
308.536	n/a	RESPONSE	n/a	n/a	1/1
311.129	1.008	FIXCROSS	n/a	n/a	n/a
312.145	5.008	6_DOT_DETECTION	IIOLD	0	n/a
317.179	1.008	FIXCROSS	n/a	n/a	n/a
318.195	5.009	6_DOT_DETECTION	LUK#C	1	n/a
320.432	n/a	RESPONSE	n/a	n/a	1/1
323.229	1.008	FIXCROSS	n/a	n/a	n/a
324.245	5.009	6_DOT_DETECTION	ICE#D	1	n/a
325.896	n/a	RESPONSE	n/a	n/a	1/1
329.279	1.008	FIXCROSS	n/a	n/a	n/a
330.295	5.009	6_DOT_DETECTION	DB#A#	2	n/a
332.496	n/a	RESPONSE	n/a	n/a	1/2
334.096	n/a	RESPONSE	n/a	n/a	2/2
335.329	1.008	FIXCROSS	n/a	n/a	n/a
336.345	5.009	6_DOT_DETECTION	AKŁKŁ	0	n/a
341.379	1.008	FIXCROSS	n/a	n/a	n/a
342.396	5.008	6_DOT_DETECTION	ŁBTŁB	0	n/a
347.429	1.008	FIXCROSS	n/a	n/a	n/a
