melody_number	melody_part	hand	key_sequence	session
M1	1	BH	AEHT Q Q CFHR O O AEHM Q T	TP3
M1	2	BH	AEHT Q Q CFHR O O AEHM Q M	TP3
M1	1	RH	T Q Q R O O M Q T	TP3
M1	2	RH	T Q Q R O O M Q M	TP3
M2	1	BH	AM HO EQ HM AM HO EQ HM	TP3
M2	2	BH	AQ HR ET H AQ HR ET H	TP3
M2	3	BH	AT V HT R EQ HM AT V HT R EQ HM	TP3
M2	4	BH	AM H AM AM H AM	TP3
M2	1	RH	M O Q M M O Q M	TP3
M2	2	RH	Q R T Q R T	TP3
M2	3	RH	T V T R Q M T V T R Q M	TP3
M2	4	RH	M H M M H M	TP3
M3	1	BH	AHY T AHT R AHQ R AHT	TP3
M3	2	BH	AHY T AHT R AHQ O AHM	TP3
M3	3	BH	AHM O AHQ O AHQ R AHT	TP3
M3	4	BH	AHQ T AHT R AHQ O AHM	TP3
M3	1	RH	Y T T R Q R T	TP3
M3	2	RH	Y T T R Q O M	TP3
M3	3	RH	M O Q O Q R T	TP3
M3	4	RH	Q T T R Q O M	TP3
M4	1	BH	FJM R V T R Q R FJM R V T V Q R	TP3
M4	2	BH	FJM R V Y EHMW V T EHM Q T W FJM T R	TP3
M4	1	RH	M R V T R Q R M R V T R Q R	TP3
M4	2	RH	M R V Y W V T M Q T W V T R	TP3
M5	1	BH	FV JV EV J CV JV AV J FV JY ER JT CV J A J	TP3
M5	2	BH	HW KW EW KW FW JV AV JV HV LT CT LV QT H EY H	TP3
M5	3	BH	FV JV EV J CV JV AV J FV JY ER JT CV J A J	TP3
M5	4	BH	AW KW EW KW FW JV AV JV AY HY EW HT FR	TP3
M5	1	RH	V V V V V V V Y R T V	TP3
M5	2	RH	W W W W W V V V V V T T V R Y	TP3
M5	3	RH	V V V V V V V Y R T V	TP3
M5	4	RH	W W W W W V V V Y Y W T R	TP3
