onset	duration	trial_type
4	0	WhatOff_Picture
5	0	WhatOff_random_face_astronaut_pa
9	0	MotorResponse
12	0	WhatOff_Picture
13	0	WhatOff_omis
16	0	MotorResponse
20	0	WhatOff_Picture
21	0	WhatOff_random_face_fireman_pa
24	0	MotorResponse
28	0	WhatOff_Picture
29	0	WhatOff_random_face_astronaut_pa
32	0	MotorResponse
35	0	WhatOff_Picture
36	0	WhatOff_random_face_femaledr_ga
39	0	MotorResponse
42	0	WhatOff_Picture
43	0	WhatOff_random_face_billgates_ga
46	0	MotorResponse
49	0	WhatOff_Picture
50	0	WhatOff_random_face_lady_pa
53	0	MotorResponse
56	0	WhatOff_Picture
57	0	WhatOff_random_face_astronaut_ga
61	0	MotorResponse
65	0	WhatOff_Picture
66	0	WhatOff_random_face_lady_ga
70	0	MotorResponse
74	0	WhatOff_Picture
75	0	WhatOff_random_face_nun_ga
78	0	MotorResponse
81	0	WhatOff_Picture
82	0	WhatOff_omis
86	0	MotorResponse
90	0	WhatOff_Picture
91	0	WhatOff_random_face_billgates_pa
94	0	MotorResponse
98	0	WhatOff_Picture
99	0	WhatOff_random_face_oprahwinfrey_ga
102	0	MotorResponse
106	0	WhatOff_Picture
107	0	WhatOff_random_face_astronaut_ga
111	0	MotorResponse
115	0	WhatOff_Picture
116	0	WhatOff_random_face_fireman_ga
120	0	MotorResponse
123	0	WhatOff_Picture
124	0	WhatOff_random_face_astronaut_pa
128	0	MotorResponse
