onset	duration	trial_type
4	0	WhatOn_Picture
5	0	WhatOn_BradPitt0_pa
8	0	MotorResponse
11	0	WhatOn_Picture
12	0	WhatOn_GeorgeBush1_pa
16	0	MotorResponse
19	0	WhatOn_Picture
20	0	WhatOn_MJackson3_pa
24	0	MotorResponse
28	0	WhatOn_Picture
29	0	WhatOn_BradPitt0_pa
32	0	MotorResponse
35	0	WhatOn_Picture
36	0	WhatOn_Angelina0_ga
39	0	MotorResponse
43	0	WhatOn_Picture
44	0	WhatOn_GeorgeBush1_ga
47	0	MotorResponse
50	0	WhatOn_Picture
51	0	WhatOn_ClownMask2_ga
55	0	MotorResponse
58	0	WhatOn_Picture
59	0	WhatOn_Angelina0_ga
63	0	MotorResponse
67	0	WhatOn_Picture
68	0	WhatOn_MJackson3_ga
71	0	MotorResponse
74	0	WhatOn_Picture
75	0	WhatOn_Beyonce3_ga
79	0	MotorResponse
83	0	WhatOn_Picture
84	0	WhatOn_ClownMask2_omis
87	0	MotorResponse
90	0	WhatOn_Picture
91	0	WhatOn_ClownMask2_ga
94	0	MotorResponse
98	0	WhatOn_Picture
99	0	WhatOn_BarackObama1_omis
103	0	MotorResponse
106	0	WhatOn_Picture
107	0	WhatOn_BradPitt0_pa
110	0	MotorResponse
113	0	WhatOn_Picture
114	0	WhatOn_Magician2_pa
117	0	MotorResponse
120	0	WhatOn_Picture
121	0	WhatOn_ClownMask2_ga
124	0	MotorResponse
128	0	WhatOn_Picture
129	0	WhatOn_Magician2_pa
133	0	MotorResponse
137	0	WhatOn_Picture
138	0	WhatOn_BarackObama1_pa
141	0	MotorResponse
144	0	WhatOn_Picture
145	0	WhatOn_Magician2_ga
148	0	MotorResponse
151	0	WhatOn_Picture
152	0	WhatOn_Angelina0_ga
156	0	MotorResponse
159	0	WhatOn_Picture
160	0	WhatOn_GeorgeBush1_omis
163	0	MotorResponse
167	0	WhatOn_Picture
168	0	WhatOn_BarackObama1_pa
171	0	MotorResponse
174	0	WhatOn_Picture
175	0	WhatOn_Beyonce3_ga
178	0	MotorResponse
182	0	WhatOn_Picture
183	0	WhatOn_Magician2_pa
186	0	MotorResponse
