onset	duration	conditions
10745	2000	local congruent
15677	2000	global congruent
20608	2000	global incongruent
26522	2000	global congruent
32586	2000	global incongruent
38383	2000	local congruent
45313	2000	local incongruent
52144	2000	global congruent
58058	2000	global congruent
63039	2000	local incongruent
66970	2000	local congruent
72785	2000	local congruent
79615	2000	global congruent
84496	2000	global congruent
90310	2000	local incongruent
97140	2000	global incongruent
101955	2000	global incongruent
106936	2000	local congruent
113850	2000	local congruent
117631	2000	global congruent
121646	2000	local incongruent
126478	2000	local congruent
133374	2000	global incongruent
138189	2000	local incongruent
143037	2000	local incongruent
146819	2000	global incongruent
150533	2000	local congruent
157264	2000	local incongruent
161062	2000	local incongruent
166843	2000	global incongruent
172740	2000	global congruent
178471	2000	local congruent
184268	2000	local incongruent
188067	2000	local congruent
194981	2000	global congruent
198779	2000	global congruent
205509	2000	local congruent
210390	2000	global incongruent
215188	2000	local congruent
218986	2000	global congruent
222819	2000	global incongruent
227699	2000	global congruent
234513	2000	local incongruent
240310	2000	global incongruent
243992	2000	local incongruent
247807	2000	global incongruent
254587	2000	global incongruent
260385	2000	local incongruent
