onset	duration	trial_id	trial_type	image_id	rating_value	red	green	blue	gram	protein	fat	carb
10.04	4.008	1	valuation	113	4	244.297966666667	235.758511111111	212.079688888889	30	1.8	10.5	14.7
14.048	0.682	1	rating	113	4	244.297966666667	235.758511111111	212.079688888889	30	1.8	10.5	14.7
14.73	0	1	response	113	4	244.297966666667	235.758511111111	212.079688888889	30	1.8	10.5	14.7
14.73	0.5	1	feedback	113	4	244.297966666667	235.758511111111	212.079688888889	30	1.8	10.5	14.7
20.038	4.006	2	valuation	152	4	232.926840740741	205.275440740741	169.15117037037	20	2.6	4.8	11.2
24.044	1.546	2	rating	152	4	232.926840740741	205.275440740741	169.15117037037	20	2.6	4.8	11.2
25.59	0	2	response	152	4	232.926840740741	205.275440740741	169.15117037037	20	2.6	4.8	11.2
25.59	0.5	2	feedback	152	4	232.926840740741	205.275440740741	169.15117037037	20	2.6	4.8	11.2
33.363	4.005	3	valuation	549	3	248.646144444444	208.924014814815	169.531925925926	80	6.16	1.36	40.48
37.368	0.848999999999997	3	rating	549	3	248.646144444444	208.924014814815	169.531925925926	80	6.16	1.36	40.48
38.217	0	3	response	549	3	248.646144444444	208.924014814815	169.531925925926	80	6.16	1.36	40.48
38.217	0.5	3	feedback	549	3	248.646144444444	208.924014814815	169.531925925926	80	6.16	1.36	40.48
43.448	4.003	4	valuation	3	3	228.507333333333	213.068881481482	197.702585185185	720	38.448	64.8	146.16
47.451	0.908999999999999	4	rating	3	3	228.507333333333	213.068881481482	197.702585185185	720	38.448	64.8	146.16
48.36	0	4	response	3	3	228.507333333333	213.068881481482	197.702585185185	720	38.448	64.8	146.16
48.36	0.5	4	feedback	3	3	228.507333333333	213.068881481482	197.702585185185	720	38.448	64.8	146.16
51.705	4.005	5	valuation	412	2	242.19412962963	233.376559259259	215.4649	200	4	0.22	29.6
55.71	0.765999999999998	5	rating	412	2	242.19412962963	233.376559259259	215.4649	200	4	0.22	29.6
56.476	0	5	response	412	2	242.19412962963	233.376559259259	215.4649	200	4	0.22	29.6
56.476	0.5	5	feedback	412	2	242.19412962963	233.376559259259	215.4649	200	4	0.22	29.6
63.74	4.00599999999999	6	valuation	206	2	234.499233333333	210.575355555556	207.224118518518	100	1.2	0.3	4.6
67.746	0.747	6	rating	206	2	234.499233333333	210.575355555556	207.224118518518	100	1.2	0.3	4.6
68.493	0	6	response	206	2	234.499233333333	210.575355555556	207.224118518518	100	1.2	0.3	4.6
68.493	0.5	6	feedback	206	2	234.499233333333	210.575355555556	207.224118518518	100	1.2	0.3	4.6
74.317	4.004	7	valuation	453	3	237.348340740741	206.510103703704	179.368751851852	125	0.875	0.125	11.75
78.321	0.698999999999998	7	rating	453	3	237.348340740741	206.510103703704	179.368751851852	125	0.875	0.125	11.75
79.02	0	7	response	453	3	237.348340740741	206.510103703704	179.368751851852	125	0.875	0.125	11.75
