onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	order	response	correctness	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
24.064117193978745	1.5869944926089374	DISTANT	1.5869944926089374	11_2	13	bölcsőde	lokális		new	1	1219	8	3	1	578	7	3	3	1.75	4.7	5.35	6.55	0.6315799952000001
34.07459868960723	1.4641711895674234	FOIL	1.4641711895674234	11_2	1	ábrázolás	szokatlan		new	1	839	9	4	4	3495	9	3	1	2.55	4.45	3.45	6.05	0.0
42.083999248978216	1.262788666965207	DISTANT	1.262788666965207	11_2	14	boríték	lakossági		new	1	1364	7	3	3	6638	9	4	7	1.5	3.15	3.85	3.5	0.602748156
46.082176257667015	1.2006924651795998	CLOSE	1.2006924651795998	11_2	26	fejfájás	borzalmas		new	1	1351	8	3	4	1061	9	3	6	5.8	5.95	6.0	6.75	0.831396163
54.10757774735976	1.11888966843253	CLOSE	1.11888966843253	11_2	27	folyadék	optimális		new	1	1438	8	3	3	1679	9	4	2	1.8	3.5	3.45	3.25	0.841039181
60.1158525449282	1.135130095295608	TARGET	1.135130095295608	11_2	88	törmelék	építkezési		old	1	730	8	3	1	395	10	5	7	1.9	6.55	6.8	6.4	0.8136036990000001
66.11513712906162	1.1355481256177882	TARGET	1.1355481256177882	11_2	89	tudomány	mérnöki		old	1	3986	8	3	5	877	7	3	6	1.7	4.75	3.4	6.0	0.7951859240000001
74.12452718644636	0.902287204764434	FOIL	0.902287204764434	11_2	2	adottság	pozitív		new	1	1928	8	3	3	10499	7	3	1	2.15	3.8	3.0	6.0	0.0
82.13391288934508	1.132866532803746	DISTANT	1.132866532803746	11_2	15	csecsemő	tevékeny		old	0	2039	8	3	2	403	8	3	2	2.4	4.65	4.65	4.15	0.655481756
90.14030911191368	1.5502126908686478	FOIL	1.5502126908686478	11_2	3	alapanyag	folyékony		new	1	2168	9	4	4	612	9	3	1	1.75	5.6	5.6	6.45	0.0
100.14877601899208	2.0	TARGET	0.0	11_2	90	tűzijáték	nagyszabású			0	1585	9	4	1	3070	11	4	1	2.9	6.2	6.9	6.6	0.772080302
108.15524703619305	1.4392540720145917	TARGET	1.4392540720145917	11_2	91	újságcikk	botrányos		old	1	503	9	3	0	1508	9	3	4	3.75	5.45	5.65	6.55	0.7505655290000001
118.16364734531088	1.2229095474176574	FOIL	1.2229095474176574	11_2	4	államférfi	diszkrét		new	1	599	10	4	4	535	8	2	1	1.8	3.8	3.65	4.7	0.0
122.16685378133845	1.2836169254151173	DISTANT	1.2836169254151173	11_2	16	csengőhang	általános		new	1	2279	10	3	1	25132	9	4	3	2.4	5.65	4.6	5.45	0.712553442
130.17323617202055	1.3569528150837868	CLOSE	1.3569528150837868	11_2	28	gorilla	problémás		new	1	659	7	3	2	1593	9	3	8	3.3	4.7	4.55	4.65	0.775599658
136.17952609398344	0.8389673933706945	FOIL	0.8389673933706945	11_2	5	áramlat	belföldi		new	1	1372	7	3	2	3239	8	3	4	1.8	3.05	2.25	2.8	0.0
140.18172049702844	1.0526462062262	CLOSE	1.0526462062262	11_2	29	hangszer	könnyűzenei		new	1	1828	8	2	3	420	11	5	1	2.1	6.1	6.2	6.25	0.7948508259999999
150.18919996116892	1.0762866919540102	FOIL	1.0762866919540102	11_2	6	asszisztens	tárgyalási		new	1	1083	11	3	4	2106	10	4	6	2.05	4.45	4.4	5.25	0.0
154.20638172469626	1.1791326536767883	DISTANT	1.1791326536767883	11_2	17	csillagász	tisztességes		old	0	606	10	3	4	3762	12	4	7	1.35	4.4	3.5	5.45	0.601381719
164.21787422870693	1.0559761046461065	CLOSE	1.0559761046461065	11_2	30	háziorvos	türelmetlen		new	1	2011	9	4	4	480	11	4	1	4.55	6.25	5.95	6.6	0.7620039581999999
168.2210665767052	1.2926793720107526	TARGET	1.2926793720107526	11_2	92	útlezárás	helyszíni		old	1	1291	9	4	3	4087	9	3	7	3.75	6.6	6.45	6.5	0.78665024
180.2306346555852	1.1787369080557255	CLOSE	1.1787369080557255	11_2	31	helyezés	jogerős		new	1	5834	8	3	4	4058	7	3	1	2.55	2.65	1.5	3.3	0.78364414
188.2320157949871	1.2735762570955558	DISTANT	1.2735762570955558	11_2	18	csomagolás	karakteres		new	1	1577	10	4	4	625	10	4	6	1.85	4.5	4.7	5.35	0.7101491090000001
194.23933055721864	1.5939329763205023	DISTANT	1.5939329763205023	11_2	19	diáklány	törékeny		old	0	819	8	3	4	854	8	3	1	3.7	6.1	6.6	6.6	0.649407744
202.24869500000204	1.3204402228147956	FOIL	1.3204402228147956	11_2	7	bábszínház	virtuális		new	1	636	10	3	2	5945	9	4	1	1.85	4.6	4.95	4.6	0.0
210.25604741570717	0.9217635244422128	TARGET	0.9217635244422128	11_2	93	útmutatás	erkölcsi		old	1	703	9	4	2	4377	8	3	7	3.2	4.1	2.7	6.3	0.7834023237000001
214.27328476292317	1.2406223016732838	FOIL	1.2406223016732838	11_2	8	bankrablás	tavalyi		new	1	535	10	3	2	16956	7	3	7	3.8	5.35	4.15	6.15	0.0
224.27876500727143	1.5786799924098889	FOIL	1.5786799924098889	11_2	9	becslés	szakszerű		new	1	7246	7	2	4	968	9	3	2	2.1	5.25	2.4	6.0	0.0
232.2901558213198	1.0948490825976478	TARGET	1.0948490825976478	11_2	94	vacsora	zártkörű		old	1	2517	7	3	1	562	8	3	1	2.45	5.85	5.4	6.9	0.7889098529999999
242.3156351794023	1.3898242915020091	FOIL	1.3898242915020091	11_2	10	berendezés	egyszerű		new	1	6368	10	4	5	22554	8	3	3	1.5	5.45	5.7	6.15	0.0
248.31491259144968	1.0622188957349863	TARGET	1.0622188957349863	11_2	95	végállomás	ideiglenes		old	1	893	10	4	4	4073	10	5	1	2.95	4.15	3.65	4.7	0.847806394
258.32838945876574	1.304523308383068	TARGET	1.304523308383068	11_2	96	ventilátor	masszív		old	1	1165	10	4	3	982	7	2	2	1.6	4.5	5.6	5.5	0.84082365
268.32887562393444	0.8961817079398315	TARGET	0.8961817079398315	11_2	97	világítás	hangulatos		old	1	1393	9	4	5	1112	10	4	5	2.95	5.9	6.4	6.85	0.78756988
272.3400699739723	1.500926352120587	CLOSE	1.500926352120587	11_2	32	horgász	hagyományos		old	0	707	7	2	2	15070	11	4	6	1.3	4.15	5.5	4.8	0.8027049303
284.3666476862418	1.0982786218082763	FOIL	1.0982786218082763	11_2	11	borvidék	csapadékos		new	1	827	8	3	2	840	10	4	4	2.55	5.5	6.15	5.65	0.0
290.3719545197382	1.325193012438831	TARGET	1.325193012438831	11_2	98	zarándok	keresztény		old	1	1047	8	3	2	7533	10	3	5	2.05	5.9	5.65	5.75	0.8485714790000001
302.3815254162182	1.2831784034060547	DISTANT	1.2831784034060547	11_2	20	diktátor	rosszindulatú		new	1	1821	8	3	4	2105	13	5	3	6.2	5.85	5.7	6.6	0.6793145540000001
306.37871805571194	1.830076564612682	CLOSE	1.830076564612682	11_2	33	iránytű	előnyös		new	1	794	7	3	2	2414	7	3	1	1.35	2.9	3.25	2.35	0.8048268559999999
316.3901905803359	1.2263004085689315	FOIL	1.2263004085689315	11_2	12	bűntett	embertelen		new	1	7349	7	2	1	964	10	4	1	6.6	5.6	4.3	6.1	0.0
322.39748894922377	1.0826972587092314	FOIL	1.0826972587092314	11_2	113	választék	egyforma		new	1	1419	9	3	4	1192	8	3	2	2.25	4.75	4.5	5.15	0.0
330.4048633934726	1.1000373204878997	CLOSE	1.1000373204878997	11_2	34	kánikula	márciusi		new	1	1200	8	4	1	2871	8	4	5	3.2	5.55	5.4	4.95	0.774796665
336.40618049637123	1.3858386592619354	FOIL	1.3858386592619354	11_2	114	vallomás	következetes		new	1	6889	8	3	5	1340	12	5	3	3.8	3.9	2.75	4.95	0.0
344.41554852519766	1.176435948247672	FOIL	1.176435948247672	11_2	115	védekezés	célszerű		new	1	5447	9	4	4	2801	8	3	4	3.35	4.45	3.55	5.8	0.0
350.42082231584936	1.3234501948318211	TARGET	1.3234501948318211	11_2	99	zeneszerző	nagyszerű		old	1	2295	10	4	1	4154	9	3	1	2.35	5.5	5.55	6.65	0.9369357229999999
354.43803917139303	1.410162286440027	CLOSE	1.410162286440027	11_2	35	kapitány	szorgalmas		new	1	6280	8	3	5	404	10	3	6	1.7	5.35	5.3	5.85	0.762966812
360.44632498323335	1.4664303975587245	FOIL	1.4664303975587245	11_2	116	védőoltás	hatékony		new	1	1615	9	4	1	12155	8	3	2	3.85	5.3	4.55	6.55	0.0
368.44670612852497	1.11367094918387	CLOSE	1.11367094918387	11_2	36	kastély	páratlan		new	1	2771	7	2	4	1654	8	3	8	3.15	4.3	4.8	4.95	0.825480223
374.4549845121364	1.2496096974937243	FOIL	1.2496096974937243	11_2	117	végeredmény	lehetséges		old	0	5372	11	4	4	14891	10	4	4	2.9	4.15	4.25	6.2	0.0
380.46226956142345	1.1457240390154766	CLOSE	1.1457240390154766	11_2	37	képregény	élvezetes		new	1	1156	9	3	5	1070	9	4	8	2.6	5.5	6.0	6.3	0.852174282
390.4707556794601	1.1375038005644456	TARGET	1.1375038005644456	11_2	100	zöldség	rendszeres		old	1	2637	7	2	3	5423	10	3	8	1.9	2.0	2.65	2.4	0.840808868
396.4730389651959	0.9992976475768957	TARGET	0.9992976475768957	11_2	51	magazin	tudományos		old	1	7307	7	3	2	11632	10	4	5	1.8	6.3	6.45	6.15	0.735963702
404.4824415737239	0.9418919919262408	TARGET	0.9418919919262408	11_2	52	matrica	fizetős		old	1	1479	7	3	2	2152	7	3	2	2.75	5.8	5.4	5.6	0.701929092
408.4796326763462	1.6161357143719215	DISTANT	1.6161357143719215	11_2	21	díszlet	kulturális		old	0	1420	7	2	3	24926	10	4	1	1.65	4.6	4.1	4.5	0.683287978
