onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	jitter	response	counterbalance	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
28.033400759675715	2.0	CLOSE	1.79190258844028	StimuliTable-1776-Mapping-Run1.xlsx	32	horgász	hagyományos	10	2	2	707	7	2	2	15070	11	4	6	1.3	4.15	5.5	4.8	0.8027049303
36.0328175136674	2.0	DISTANT	1.3119615636533126	StimuliTable-1776-Mapping-Run1.xlsx	88	törmelék	életveszélyes	6	4	2	730	8	3	1	3907	13	5	3	4.75	5.8	6.2	6.4	0.657350659
46.033323147232295	2.0	DISTANT	1.6559299367072526	StimuliTable-1776-Mapping-Run1.xlsx	94	vacsora	ügyészségi	8	1	2	2517	7	3	1	1538	10	4	4	2.2	4.95	4.9	4.5	0.6062234639999999
58.03291766702751	2.0	BASELINE	1.2159206437136163	StimuliTable-1776-Mapping-Run1.xlsx	82	találmány	forradalmi	10	4	2	1346	9	3	4	2505	10	4	3	2.9	4.5	4.35	6.45	1.0
66.03333800374094	2.0	CLOSE	1.543917758470343	StimuliTable-1776-Mapping-Run1.xlsx	55	mikrofon	távközlési	6	4	2	1847	8	3	1	3781	10	4	8	1.75	3.85	3.55	4.2	0.7811700109999999
76.03683440603345	2.0	DISTANT	1.740250096503587	StimuliTable-1776-Mapping-Run1.xlsx	19	diáklány	törékeny	8	1	2	819	8	3	4	854	8	3	1	3.7	6.1	6.6	6.6	0.649407744
84.04924087086692	2.0	CLOSE	1.8712660536766637	StimuliTable-1776-Mapping-Run1.xlsx	28	gorilla	problémás	6	1	2	659	7	3	2	1593	9	3	8	3.3	4.7	4.55	4.65	0.775599658
94.05275904562586	2.0	DISTANT	1.1956794201250889	StimuliTable-1776-Mapping-Run1.xlsx	67	osztályzat	alapfokú	8	4	2	1028	10	3	3	821	8	4	4	2.6	4.3	2.9	3.95	0.713177145
106.06638015805947	2.0	CLOSE	1.878571869514417	StimuliTable-1776-Mapping-Run1.xlsx	72	rémálom	sajnálatos	10	1	2	769	7	3	1	2647	10	4	3	5.4	3.75	4.3	4.45	0.833719671
118.06596520042513	2.0	DISTANT	1.966541863461316	StimuliTable-1776-Mapping-Run1.xlsx	76	szakadék	kedvezőtlen	10	2	2	1478	8	3	4	3202	11	4	2	3.95	2.85	3.3	2.35	0.659476936
126.06537017166556	2.0	BASELINE	1.5985497486835811	StimuliTable-1776-Mapping-Run1.xlsx	17	csillagász	figyelmes	6	1	2	606	10	3	4	1273	9	3	8	1.9	4.4	4.85	5.8	1.0
136.0698739988802	2.0	DISTANT	1.7789510434522526	StimuliTable-1776-Mapping-Run1.xlsx	45	kolostor	puritán	8	3	2	1099	8	3	4	301	7	3	1	3.35	5.3	4.6	5.05	0.734071612
148.0825135572013	2.0	CLOSE	1.3816385857353453	StimuliTable-1776-Mapping-Run1.xlsx	66	oroszlán	csendes	10	4	2	1351	8	3	3	2305	7	2	7	2.15	5.45	5.7	6.3	0.851599276
156.08589136357477	2.0	BASELINE	1.2422169188503176	StimuliTable-1776-Mapping-Run1.xlsx	53	mellény	sportos	6	4	2	909	7	2	5	700	7	2	7	1.45	5.9	6.0	6.0	1.0
168.09851299162983	2.0	DISTANT	0.0	StimuliTable-1776-Mapping-Run1.xlsx	56	monitor	digitális	10	0	2	3644	7	3	3	11798	9	4	1	1.65	6.1	6.45	5.5	0.7256274220000001
