onset	duration	trial_type
5.0	5.0	instruction
10.0	28.087	demand_grid
40.0001	5.0	instruction
45.0001	29.2091	action_observation
75.0	5.0	instruction
80.0	29.4733	nonword_reading
110.0	5.0	instruction
115.0	29.5161	intact_passage
145.0	5.0	instruction
150.0	29.4728	sentence_reading
180.0	5.0	instruction
185.0	30.1221	romance_movie
215.1228	5.0	instruction
220.1228	29.4048	finger_sequence
250.0	5.0	instruction
255.0	30.0103	spatial_navigation
285.0112	5.0	instruction
290.0112	30.0109	auditory_narrative
320.023	5.0	instruction
325.023	29.4883	verb_generation
355.0	5.0	instruction
360.0	30.0344	oddball
390.0353	5.0	instruction
395.0353	27.1278	theory_of_mind
425.0	5.0	instruction
430.0	30.0014	rest
460.0022	5.0	instruction
465.0022	29.5213	degraded_passage
495.0	5.0	instruction
500.0	30.4866	tongue_movement
530.4875	5.0	instruction
535.4875	27.4409	n_back
