onset	duration	trial_type
27.402	17.476	cat_loom0_0048_01
381.037	26.834	cat_loom1_0017_01
67.2	9.013	dog_loom0_0028_05
430.933	7.448	dog_loom0_0028_09
98.272	2.956	dog_loom1_0001_01
311.545	5.768	dog_loom1_0001_03
177.067	3.364	dog_loom1_0001_06
286.127	5.025	dog_loom1_0001_08
0.158	1.79	dog_loom1_0001_10
56.909	2.289	dog_loom1_0001_12
167.366	1.663	dog_loom1_0001_14
271.546	7.546	food_loom0_0049_01
298.16	7.341	food_loom0_0050_01
10.975	9.424	food_loom0_0053_01
471.968	7.018	food_loom0_0059_01
85.24	7.008	food_loom0_0061_01
236.11	7.003	food_loom0_0063_01
416.886	7.019	food_loom0_0065_01
325.329	10.432	frog_loom0_0029_01
132.298	7.723	frog_loom0_0039_01
341.771	8.623	frog_loom1_0004_01
252.119	10.41	frog_loom1_0025_01
357.406	12.601	spider_loom0_0034_01
446.391	18.577	spider_loom0_0037_01
109.252	15.023	spider_loom0_0038_01
192.451	6.497	spider_loom1_0013_01
148.052	7.297	spider_loom1_0014_07
207.951	22.137	spider_loom1_0015_01
