participant_id	handedness	age	sex	polx_general	polx_social	polx_econ	ideology_parties	ideology_parties_18_TEXT	libertarianism	environmentalism	pol_interest	mfq_rel_care_1	mfq_rel_fairness_1	mfq_rel_loyalty_1	mfq_rel_authority_1	mfq_rel_sanctity_1	mfq_rel_control_1	mfq_rel_care_2	mfq_rel_fairness_2	mfq_rel_loyalty_2	mfq_rel_authority_2	mfq_rel_sanctity_2	mfq_rel_care_3	mfq_rel_fairness_3	mfq_rel_loyalty_3	mfq_rel_authority_3	mfq_rel_sanctity_3	mfq_judg_care_1	mfq_judg_fairness_1	mfq_judg_loyalty_1	mfq_judg_authority_1	mfq_judg_sanctity_1	mfq_judg_control_1	mfq_judg_care_2	mfq_judg_fairness_2	mfq_judg_loyalty_2	mfq_judg_authority_2	mfq_judg_sanctity_2	mfq_judg_care_3	mfq_judg_fairness_3	mfq_judg_loyalty_3	mfq_judg_authority_3	mfq_judg_sanctity_3	sdo_1	sdo_2	sdo_3	sdo_4	sdo_5	sdo_6	sdo_7	sdo_8	rwa_1	rwa_2	rwa_3	attention_check_1	rwa_5	rwa_6	rwa_7	rwa_8	rwa_9	rwa_10	rwa_11	IUS12_1	IUS12_2	IUS12_3	IUS12_4	IUS12_5	attention_check_2	IUS12_7	IUS12_8	IUS12_9	IUS12_10	IUS12_11	IUS12_12	IUS12_13	dws_1	dws_2	dws_3	dws_4	dws_5	dws_6	dws_7	dws_8	dws_9	dws_10	attention_self_report	mfq_care_avg	mfq_fairness_avg	mfq_loyalty_avg	mfq_authority_avg	mfq_sanctity_avg	sdo_avg	rwa_sum	ius_avg	dws_avg
sub-02	right	26	male	22	10	10	[GroenLinks]	n/a	5	4	3	4	6	3	3	2	1	4	3	2	3	4	4	5	2	2	1	5	6	4	4	4	2	4	4	2	1	1	1	5	2	4	3	3	1	4	1	1	1	1	1	1	1	1	True	1	1	1	1	3	1	1	1	2	4	1	3	True	1	3	1	1	1	1	1	6	4.0	n/a	2.0	3.0	2.0	3.0	2.0	5.0	4.0	10	3.6666666666666665	4.833333333333333	2.5	2.833333333333333	2.5	1.625	12	1.6666666666666667	3.4444444444444446
sub-03	right	22	female	15	11	14	[GroenLinks]	n/a	3	4	3	5	5	3	2	3	1	4	4	4	2	4	5	5	3	4	1	5	5	3	3	3	6	6	4	2	2	2	5	5	3	2	1	1	1	2	1	2	2	1	1	1	1	1	True	1	1	1	1	2	1	2	3	4	3	2	3	True	3	3	2	3	3	2	2	2	2.0	2.0	2.0	n/a	n/a	2.0	2.0	5.0	2.0	8	5.0	4.666666666666667	3.0	2.5	2.333333333333333	1.375	12	2.75	2.375
sub-04	right	21	female	25	20	20	[SP]	n/a	3	3	3	4	5	2	3	5	3	3	5	2	3	5	4	6	4	4	3	4	5	4	4	2	6	4	5	3	4	4	2	4	1	3	1	1	1	3	2	2	3	2	3	2	1	2	True	1	1	3	2	3	2	1	4	4	2	4	3	True	2	5	2	2	2	4	1	2	2.0	n/a	3.0	2.0	4.0	2.0	2.0	4.0	3.0	8	3.5	5.0	2.6666666666666665	3.5	3.333333333333333	2.125	18	2.9166666666666665	2.6666666666666665
sub-05	right	19	female	66	20	30	[GroenLinks]	n/a	3	3	1	3	3	2	3	4	2	4	4	4	3	4	4	4	3	4	1	4	4	3	5	5	5	3	4	3	3	3	5	5	2	3	3	5	3	4	2	4	4	4	3	2	1	3	True	4	1	2	3	2	2	1	2	4	3	2	3	True	2	3	2	2	2	2	2	4	5.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	8	3.8333333333333335	4.0	2.833333333333333	3.5	3.333333333333333	3.625	21	2.4166666666666665	4.3
sub-06	right	23	female	35	35	15	[D66]	n/a	4	3	3	4	5	2	2	5	2	5	4	4	2	5	4	6	3	3	1	4	6	1	3	4	5	5	5	1	1	1	6	4	1	1	1	2	1	1	1	6	1	1	1	1	1	1	True	2	1	2	1	1	2	1	3	5	4	3	4	True	1	3	2	1	1	1	1	5	n/a	n/a	2.0	n/a	3.0	2.0	4.0	3.0	2.0	8	4.666666666666667	5.0	2.0	2.0	2.833333333333333	1.75	13	2.4166666666666665	3.0
sub-07	right	26	male	51	30	40	[FvD]	n/a	4	4	3	3	3	2	1	1	1	1	6	1	2	2	4	3	1	1	1	1	1	4	3	2	6	1	6	1	5	4	5	4	1	2	4	1	4	4	4	7	1	7	7	3	6	8	False	7	1	9	4	9	4	0	2	5	1	5	5	True	3	2	4	5	5	3	2	6	6.0	5.0	2.0	2.0	n/a	5.0	3.0	3.0	4.0	8	2.5	3.8333333333333335	1.6666666666666667	2.333333333333333	2.333333333333333	4.375	51	3.5	4.0
sub-08	right	21	male	20	1	29	[GroenLinks]	n/a	3	5	3	4	5	2	2	3	1	2	5	3	1	4	4	5	3	2	1	4	4	4	5	6	6	6	5	2	2	2	4	5	2	2	1	2	2	2	2	1	1	3	2	3	1	1	True	9	1	1	8	3	3	1	4	4	5	3	4	True	2	4	4	5	3	2	3	2	5.0	n/a	2.0	3.0	2.0	3.0	n/a	5.0	3.0	9	4.0	4.833333333333333	2.6666666666666665	2.333333333333333	2.833333333333333	1.875	31	3.583333333333333	3.125
sub-09	right	21	female	15	0	3	[PvdD]	n/a	4	5	4	5	6	2	2	4	1	4	6	2	3	5	6	6	5	2	1	4	6	1	3	3	6	5	5	2	1	2	6	6	4	1	3	1	1	1	1	1	2	1	1	1	1	1	True	4	1	3	1	4	1	2	5	4	3	1	1	True	3	2	2	2	2	2	2	2	3.0	6.0	n/a	2.0	2.0	3.0	3.0	3.0	2.0	8	5.0	5.833333333333333	2.6666666666666665	2.0	3.0	1.125	19	2.4166666666666665	2.888888888888889
sub-10	right	20	female	17	4	33	[GroenLinks]	n/a	3	3	3	4	4	1	3	4	1	3	4	4	2	5	4	4	3	4	1	4	3	2	4	6	6	4	5	2	1	1	6	4	5	5	1	2	1	2	2	3	2	2	1	1	1	1	True	1	1	2	2	1	1	1	3	5	3	3	4	True	1	3	3	2	4	3	2	4	4.0	2.0	n/a	3.0	n/a	2.0	4.0	4.0	2.0	7	4.166666666666667	4.0	2.833333333333333	3.1666666666666665	3.0	1.875	12	3.0	3.125
sub-11	right	19	male	38	5	30	[GroenLinks]	n/a	3	4	4	4	4	3	3	2	1	5	4	3	1	5	5	5	3	3	1	5	5	4	4	3	6	5	5	4	2	1	4	5	4	5	1	3	1	2	2	5	2	3	1	1	1	1	True	1	1	1	2	1	1	1	2	3	3	1	3	True	2	3	3	2	2	2	3	2	2.0	3.0	n/a	3.0	2.0	2.0	2.0	3.0	n/a	8	4.666666666666667	4.666666666666667	3.5	3.0	2.1666666666666665	2.375	11	2.4166666666666665	2.375
