onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.031059	2.019754	choice_close_good	2.019754	10	high	0	10
10.785387	2.000000	outcome_close_good_recip	2.019754	10	high	0	10
18.437782	2.029999	choice_close_good	2.029999	20	high	0	20
25.189117	2.000000	outcome_close_good_recip	2.029999	20	high	0	20
27.999476	1.684758	choice_close_good	1.684758	20	high	0	20
33.251082	2.000000	outcome_close_good_recip	1.684758	20	high	0	20
36.064816	1.819949	choice_far_bad	1.819949	4	low	4	20
41.318172	2.000000	outcome_far_bad_defect	1.819949	4	low	4	20
45.743464	1.790898	choice_far_good	1.790898	20	high	0	20
53.995157	2.000000	outcome_far_good_recip	1.790898	20	high	0	20
58.418897	1.582959	choice_far_good	1.582959	4	low	4	10
63.670186	2.000000	outcome_far_good_recip	1.582959	4	low	4	10
72.942041	1.576373	choice_far_bad	1.576373	10	high	4	10
79.695996	2.000000	outcome_far_bad_recip	1.576373	10	high	4	10
87.349287	2.268994	choice_far_good	2.268994	20	high	4	20
92.601889	2.000000	outcome_far_good_recip	2.268994	20	high	4	20
98.643265	1.642115	choice_close_good	1.642115	16	high	10	16
103.896912	2.000000	outcome_close_good_recip	1.642115	16	high	10	16
113.167100	1.551591	choice_close_bad	1.551591	10	high	0	10
119.920253	2.000000	outcome_close_bad_defect	1.551591	10	high	0	10
124.343675	1.725003	choice_close_bad	1.725003	16	low	16	20
129.594601	2.000000	outcome_close_bad_defect	1.725003	16	low	16	20
132.407123	1.710809	choice_far_bad	1.710809	20	high	0	20
137.659954	2.000000	outcome_far_bad_recip	1.710809	20	high	0	20
146.929853	1.472136	choice_close_good	1.472136	10	high	4	10
152.181793	2.000000	outcome_close_good_defect	1.472136	10	high	4	10
154.992842	3.000000	missed_trial	3.000000	n/a	n/a	10	20
167.899758	1.269261	choice_far_good	1.269261	10	low	10	20
173.151850	2.000000	outcome_far_good_recip	1.269261	10	low	10	20
184.037640	1.131654	choice_far_good	1.131654	10	high	0	10
189.288846	2.000000	outcome_far_good_recip	1.131654	10	high	0	10
192.099068	1.670627	choice_far_good	1.670627	4	high	0	4
198.851367	2.000000	outcome_far_good_defect	1.670627	4	high	0	4
201.663288	1.155851	choice_close_good	1.155851	16	low	16	20
209.915436	2.000000	outcome_close_good_recip	1.155851	16	low	16	20
212.726954	1.393048	choice_far_bad	1.393048	20	high	0	20
217.979955	2.000000	outcome_far_bad_defect	1.393048	20	high	0	20
224.020402	1.448978	choice_close_bad	1.448978	16	high	10	16
232.273391	2.000000	outcome_close_bad_recip	1.448978	16	high	10	16
235.083741	1.319309	choice_close_good	1.319309	20	high	10	20
240.335677	2.000000	outcome_close_good_recip	1.319309	20	high	10	20
244.761093	1.725392	choice_far_good	1.725392	10	low	10	16
253.013239	2.000000	outcome_far_good_recip	1.725392	10	low	10	16
255.823963	1.345653	choice_close_good	1.345653	16	high	4	16
262.575678	2.000000	outcome_close_good_defect	1.345653	16	high	4	16
265.384606	1.584392	choice_close_good	1.584392	0	low	0	4
273.446988	1.973145	choice_close_bad	1.973145	4	low	4	10
278.699020	2.000000	outcome_close_bad_defect	1.973145	4	low	4	10
283.124981	1.329091	choice_far_bad	1.329091	10	low	10	20
289.877421	2.000000	outcome_far_bad_defect	1.329091	10	low	10	20
