onset	duration	eventnumber	hunger_condition	stimfilename	blockno	trialno	is_faststream	stim	food_idx	letter	letter_idx	istarget	image_number	response	keypressed	rt	correct	time_stimon	time_stimoff
30442.25	0.0999672	0	hunger	stimuli/non_foods\non-food_animate_frog.jpg	1	1	1	non-food_animate_frog	0	K	7	0	113	0	NaN	0	0	126.6287603	126.7287275
30479.75	0.0999667	1	hunger	stimuli/non_foods\non-food_inanimate_construction_helment.jpg	1	1	1	non-food_inanimate_construction_helment	0	W	16	0	175	0	NaN	0	0	126.7787463	126.878713
30517.25	0.0999831	2	hunger	stimuli/non_foods\non-food_animate_killer_whale.jpg	1	1	1	non-food_animate_killer_whale	0	J	6	0	123	0	NaN	0	0	126.9287488	127.0287319
30554.75	0.0999764	3	hunger	stimuli/foods\fruit_pie.jpg	1	1	1	fruit_pie	1	K	7	0	54	0	NaN	0	0	127.0787388	127.1787152
30592.25	0.0999872	4	hunger	stimuli/foods\coffee_beans.jpg	1	1	1	coffee_beans	1	R	12	0	34	0	NaN	0	0	127.2287365	127.3287237
30629.75	0.0999889	5	hunger	stimuli/non_foods\non-food_inanimate_stoplight.jpg	1	1	1	non-food_inanimate_stoplight	0	K	7	0	214	0	NaN	0	0	127.3787319	127.4787208
30667.25	0.0999647	6	hunger	stimuli/foods\apricot.jpg	1	1	1	apricot	1	H	5	0	2	0	NaN	0	0	127.528753	127.6287177
30704.75	0.0999786	7	hunger	stimuli/non_foods\non-food_animate_german_shepherd.jpg	1	1	1	non-food_animate_german_shepherd	0	X	17	0	114	0	NaN	0	0	127.6787419	127.7787205
30742.25	0.0999857	8	hunger	stimuli/non_foods\non-food_animate_polar_bear.jpg	1	1	1	non-food_animate_polar_bear	0	R	12	0	137	0	NaN	0	0	127.8287317	127.9287174
30779.75	0.0999478	9	hunger	stimuli/non_foods\non-food_inanimate_hammer.jpg	1	1	1	non-food_inanimate_hammer	0	Z	18	0	186	0	NaN	0	0	127.978769	128.0787168
30817.25	0.099988	10	hunger	stimuli/non_foods\non-food_inanimate_canoe.jpg	1	1	1	non-food_inanimate_canoe	0	S	13	0	170	0	NaN	0	0	128.1287264	128.2287144
30854.75	0.0999807	11	hunger	stimuli/foods\papaya.jpg	1	1	1	papaya	1	H	5	0	235	0	NaN	0	0	128.2787297	128.3787104
30892.25	0.0999854	12	hunger	stimuli/foods\cannoli.jpg	1	1	1	cannoli	1	N	10	0	17	0	NaN	0	0	128.4287302	128.5287156
