onset	duration	trial_type
1.991	0.35	cue_video
2.358	2.45	control_video
5.494	0.1	l_click
9.99	0.35	cue_video
10.357	2.8	general_video
13.81	0.1	l_click
17.99	0.109	cue_audio
18.34	3.671	arithprin_audio
23.416	0.1	r_click
25.998	0.35	cue_video
26.356	3.15	geomfact_video
31.116	0.1	r_click
33.99	0.109	cue_audio
34.34	3.084	colorlessg_audio
38.498	0.1	l_click
41.997	1.0	blank
46.997	0.35	cue_video
47.356	3.15	arithfact_video
51.62	0.1	l_click
54.997	0.35	cue_video
55.355	3.15	arithfact_video
59.24	0.1	l_click
62.996	0.35	cue_video
63.355	3.5	colorlessg_video
67.95	0.1	l_click
70.996	0.35	cue_video
71.354	2.45	control_video
74.378	0.1	l_click
78.996	0.35	cue_video
79.354	3.5	colorlessg_video
83.58	0.1	l_click
86.995	1.0	blank
91.995	0.35	cue_video
92.353	3.5	context_video
96.654	0.1	l_click
99.995	0.35	cue_video
100.353	3.85	arithprin_video
105.986	0.1	l_click
107.994	0.35	cue_video
108.353	2.8	context_video
112.828	0.1	l_click
115.994	0.35	cue_video
116.352	2.45	arithprin_video
119.487	0.1	r_click
123.994	1.0	blank
130.99	0.109	cue_audio
131.34	3.131	arithfact_audio
136.603	0.1	r_click
138.99	0.109	cue_audio
139.34	2.453	geomfact_audio
143.613	0.1	r_click
146.993	0.35	cue_video
147.351	2.8	tom_video
151.565	0.1	r_click
154.992	1.0	blank
162.992	0.35	cue_video
163.35	3.85	control_video
167.872	0.1	l_click
170.99	0.109	cue_audio
171.34	3.628	general_audio
176.578	0.1	r_click
178.99	0.109	cue_audio
179.34	2.813	colorlessg_audio
183.493	0.1	l_click
186.99	0.109	cue_audio
187.34	3.713	tom_audio
192.287	0.1	l_click
194.99	0.109	cue_audio
195.34	2.977	control_audio
199.401	0.1	l_click
202.99	0.109	cue_audio
203.34	3.113	context_audio
208.056	0.1	l_click
210.998	0.35	cue_video
211.356	3.5	geomfact_video
217.339	0.1	l_click
218.99	0.109	cue_audio
219.34	3.282	tom_audio
224.109	0.1	r_click
226.997	0.35	cue_video
227.355	3.15	colorlessg_video
231.349	0.1	l_click
231.41	0.1	l_click
234.99	0.109	cue_audio
235.34	2.969	arithfact_audio
240.784	0.1	l_click
242.996	1.0	blank
249.996	0.35	cue_video
250.354	3.15	tom_video
254.603	0.1	l_click
257.996	0.35	cue_video
258.354	2.8	tom_video
262.57	0.1	l_click
265.99	0.109	cue_audio
266.34	2.91	colorlessg_audio
270.624	0.1	l_click
273.995	0.35	cue_video
274.353	2.45	control_video
277.689	0.1	l_click
281.995	0.35	cue_video
282.353	2.8	general_video
286.104	0.1	l_click
289.99	0.109	cue_audio
290.34	2.921	control_audio
294.482	0.1	l_click
297.994	0.35	cue_video
298.352	3.15	arithfact_video
302.179	0.1	r_click
305.99	0.109	cue_audio
306.34	3.243	arithfact_audio
310.58	0.1	l_click
313.993	1.0	blank
317.99	0.109	cue_audio
318.34	2.741	geomfact_audio
322.282	0.1	r_click
325.99	0.109	cue_audio
326.34	3.622	context_audio
331.953	0.1	l_click
333.992	0.35	cue_video
334.351	3.15	general_video
339.172	0.1	r_click
341.992	0.35	cue_video
342.35	2.8	colorlessg_video
346.3	0.1	l_click
349.991	0.35	cue_video
350.35	3.5	geomfact_video
355.796	0.1	r_click
357.99	0.109	cue_audio
358.34	3.761	control_audio
365.99	0.109	cue_audio
366.34	3.3	tom_audio
366.513	0.1	l_click
370.919	0.1	l_click
373.99	0.109	cue_audio
374.34	3.427	geomfact_audio
379.779	0.1	r_click
381.998	0.35	cue_video
382.356	3.85	geomfact_video
387.558	0.1	l_click
389.998	1.0	blank
393.99	0.109	cue_audio
394.34	3.086	arithprin_audio
398.799	0.1	l_click
401.99	0.109	cue_audio
402.34	3.065	geomfact_audio
406.776	0.1	l_click
409.997	0.35	cue_video
410.355	2.8	arithprin_video
415.56	0.1	r_click
417.99	0.109	cue_audio
418.34	2.744	arithprin_audio
422.414	0.1	l_click
425.99	0.109	cue_audio
426.34	2.85	context_audio
431.037	0.1	r_click
433.99	0.109	cue_audio
434.34	3.173	general_audio
439.08	0.1	r_click
441.99	0.109	cue_audio
442.34	3.123	context_audio
446.956	0.1	r_click
449.995	0.35	cue_video
450.353	3.15	arithprin_video
454.522	0.1	r_click
457.995	1.0	blank
465.99	0.109	cue_audio
466.34	3.215	colorlessg_audio
470.818	0.1	l_click
473.994	0.35	cue_video
474.352	3.5	context_video
478.568	0.1	r_click
481.99	0.109	cue_audio
482.34	3.191	arithprin_audio
486.608	0.1	l_click
489.99	0.109	cue_audio
490.34	2.617	general_audio
494.194	0.1	l_click
497.99	0.109	cue_audio
498.34	2.902	arithfact_audio
502.221	0.1	l_click
505.992	0.35	cue_video
506.351	3.85	tom_video
511.564	0.1	r_click
513.992	0.35	cue_video
514.35	4.2	arithfact_video
519.601	0.1	r_click
521.992	0.35	cue_video
522.35	2.8	general_video
526.036	0.1	r_click
529.99	0.109	cue_audio
530.34	3.134	control_audio
534.739	0.1	l_click
537.99	0.109	cue_audio
538.34	3.683	general_audio
543.421	0.1	r_click
545.99	0.109	cue_audio
546.34	3.583	tom_audio
551.202	0.1	r_click
553.999	0.35	cue_video
554.357	2.45	context_video
557.948	0.1	r_click
561.998	1.0	blank
