onset	duration	trial_type	value	sample
13.643333333333333	0.5	nontarget	29	4093
13.643333333333333	0.5	<	1	4093
13.846666666666666	0.5	nontarget	29	4154
13.846666666666666	0.5	C	4	4154
14.046666666666667	0.5	nontarget	29	4214
14.046666666666667	0.5	O	16	4214
14.25	0.5	nontarget	29	4275
14.25	0.5	W	24	4275
14.45	0.5	nontarget	29	4335
14.45	0.5	L	13	4335
14.653333333333334	0.5	nontarget	29	4396
14.653333333333334	0.5	H	9	4396
14.856666666666667	0.5	target	30	4457
14.856666666666667	0.5	A	2	4457
15.056666666666667	0.5	nontarget	29	4517
15.056666666666667	0.5	Z	27	4517
15.26	0.5	nontarget	29	4578
15.26	0.5	M	14	4578
15.463333333333333	0.5	nontarget	29	4639
15.463333333333333	0.5	F	7	4639
15.663333333333334	0.5	nontarget	29	4699
15.663333333333334	0.5	E	6	4699
15.88	0.5	nontarget	29	4764
15.88	0.5	K	12	4764
16.083333333333332	0.5	nontarget	29	4825
16.083333333333332	0.5	V	23	4825
16.283333333333335	0.5	nontarget	29	4885
16.283333333333335	0.5	Q	18	4885
22.036666666666665	0.5	nontarget	29	6611
22.036666666666665	0.5	E	6	6611
22.24	0.5	nontarget	29	6672
22.24	0.5	A	2	6672
22.44333333333333	0.5	nontarget	29	6733
22.44333333333333	0.5	S	20	6733
22.643333333333334	0.5	nontarget	29	6793
22.643333333333334	0.5	T	21	6793
22.846666666666668	0.5	nontarget	29	6854
22.846666666666668	0.5	K	12	6854
23.05	0.5	nontarget	29	6915
23.05	0.5	<	1	6915
23.25	0.5	nontarget	29	6975
23.25	0.5	Y	26	6975
23.453333333333333	0.5	nontarget	29	7036
23.453333333333333	0.5	V	23	7036
23.656666666666666	0.5	target	30	7097
23.656666666666666	0.5	L	13	7097
23.856666666666666	0.5	nontarget	29	7157
23.856666666666666	0.5	_	28	7157
24.06	0.5	nontarget	29	7218
24.06	0.5	D	5	7218
24.26	0.5	nontarget	29	7278
24.26	0.5	U	22	7278
24.463333333333335	0.5	nontarget	29	7339
24.463333333333335	0.5	J	11	7339
24.666666666666668	0.5	nontarget	29	7400
24.666666666666668	0.5	I	10	7400
30.413333333333334	0.5	nontarget	29	9124
30.413333333333334	0.5	Z	27	9124
30.613333333333333	0.5	nontarget	29	9184
30.613333333333333	0.5	Y	26	9184
30.816666666666666	0.5	nontarget	29	9245
30.816666666666666	0.5	L	13	9245
31.016666666666666	0.5	nontarget	29	9305
31.016666666666666	0.5	X	25	9305
31.22	0.5	nontarget	29	9366
31.22	0.5	P	17	9366
31.42	0.5	nontarget	29	9426
31.42	0.5	G	8	9426
31.623333333333335	0.5	nontarget	29	9487
31.623333333333335	0.5	D	5	9487
31.823333333333334	0.5	nontarget	29	9547
31.823333333333334	0.5	R	19	9547
32.026666666666664	0.5	nontarget	29	9608
32.026666666666664	0.5	S	20	9608
32.22666666666667	0.5	nontarget	29	9668
32.22666666666667	0.5	K	12	9668
32.42666666666667	0.5	nontarget	29	9728
32.42666666666667	0.5	I	10	9728
32.63	0.5	target	30	9789
32.63	0.5	M	14	9789
32.833333333333336	0.5	nontarget	29	9850
32.833333333333336	0.5	U	22	9850
33.03333333333333	0.5	nontarget	29	9910
33.03333333333333	0.5	E	6	9910
38.776666666666664	0.5	nontarget	29	11633
38.776666666666664	0.5	E	6	11633
38.97666666666667	0.5	nontarget	29	11693
38.97666666666667	0.5	L	13	11693
39.18	0.5	nontarget	29	11754
39.18	0.5	R	19	11754
39.38333333333333	0.5	nontarget	29	11815
39.38333333333333	0.5	G	8	11815
39.586666666666666	0.5	nontarget	29	11876
39.586666666666666	0.5	T	21	11876
39.78666666666667	0.5	nontarget	29	11936
39.78666666666667	0.5	I	10	11936
39.99	0.5	target	30	11997
39.99	0.5	H	9	11997
40.19	0.5	nontarget	29	12057
40.19	0.5	A	2	12057
40.39333333333333	0.5	nontarget	29	12118
40.39333333333333	0.5	J	11	12118
40.593333333333334	0.5	nontarget	29	12178
40.593333333333334	0.5	P	17	12178
40.79666666666667	0.5	nontarget	29	12239
40.79666666666667	0.5	<	1	12239
41.0	0.5	nontarget	29	12300
41.0	0.5	Y	26	12300
41.2	0.5	nontarget	29	12360
41.2	0.5	N	15	12360
41.403333333333336	0.5	nontarget	29	12421
41.403333333333336	0.5	D	5	12421
47.14333333333333	0.5	nontarget	29	14143
47.14333333333333	0.5	<	1	14143
47.346666666666664	0.5	nontarget	29	14204
47.346666666666664	0.5	O	16	14204
47.55	0.5	nontarget	29	14265
47.55	0.5	C	4	14265
47.75	0.5	nontarget	29	14325
47.75	0.5	M	14	14325
47.95333333333333	0.5	nontarget	29	14386
47.95333333333333	0.5	A	2	14386
48.153333333333336	0.5	nontarget	29	14446
48.153333333333336	0.5	_	28	14446
48.35666666666667	0.5	nontarget	29	14507
48.35666666666667	0.5	X	25	14507
48.556666666666665	0.5	target	30	14567
48.556666666666665	0.5	W	24	14567
48.76	0.5	nontarget	29	14628
48.76	0.5	Y	26	14628
48.96333333333333	0.5	nontarget	29	14689
48.96333333333333	0.5	P	17	14689
49.163333333333334	0.5	nontarget	29	14749
49.163333333333334	0.5	V	23	14749
49.36666666666667	0.5	nontarget	29	14810
49.36666666666667	0.5	J	11	14810
49.57	0.5	nontarget	29	14871
49.57	0.5	F	7	14871
49.77	0.5	nontarget	29	14931
49.77	0.5	Z	27	14931
55.51	0.5	nontarget	29	16653
55.51	0.5	I	10	16653
55.71333333333333	0.5	nontarget	29	16714
55.71333333333333	0.5	H	9	16714
55.916666666666664	0.5	nontarget	29	16775
55.916666666666664	0.5	T	21	16775
56.11666666666667	0.5	nontarget	29	16835
56.11666666666667	0.5	W	24	16835
56.31666666666667	0.5	nontarget	29	16895
56.31666666666667	0.5	R	19	16895
56.52	0.5	nontarget	29	16956
56.52	0.5	<	1	16956
56.723333333333336	0.5	nontarget	29	17017
56.723333333333336	0.5	D	5	17017
56.92333333333333	0.5	target	30	17077
56.92333333333333	0.5	C	4	17077
57.123333333333335	0.5	nontarget	29	17137
57.123333333333335	0.5	N	15	17137
57.32666666666667	0.5	nontarget	29	17198
57.32666666666667	0.5	F	7	17198
57.526666666666664	0.5	nontarget	29	17258
57.526666666666664	0.5	V	23	17258
57.73	0.5	nontarget	29	17319
57.73	0.5	S	20	17319
57.93333333333333	0.5	nontarget	29	17380
57.93333333333333	0.5	G	8	17380
58.13333333333333	0.5	nontarget	29	17440
58.13333333333333	0.5	P	17	17440
63.876666666666665	0.5	nontarget	29	19163
63.876666666666665	0.5	M	14	19163
64.08	0.5	nontarget	29	19224
64.08	0.5	U	22	19224
64.28333333333333	0.5	target	30	19285
64.28333333333333	0.5	E	6	19285
64.48333333333333	0.5	nontarget	29	19345
64.48333333333333	0.5	V	23	19345
64.68666666666667	0.5	nontarget	29	19406
64.68666666666667	0.5	S	20	19406
64.89	0.5	nontarget	29	19467
64.89	0.5	F	7	19467
65.09	0.5	nontarget	29	19527
65.09	0.5	N	15	19527
65.29	0.5	nontarget	29	19587
65.29	0.5	<	1	19587
65.49333333333334	0.5	nontarget	29	19648
65.49333333333334	0.5	X	25	19648
