onset	duration	trial_type
12.61	12.0	iso0
24.61	12.0	sur
36.31	12.0	orth
48.61	12.0	iso90
72.61	12.0	iso0
84.31	12.0	orth
96.01	12.0	sur
108.31	12.0	iso90
132.61	12.0	iso90
144.61	12.0	sur
156.61	12.0	orth
168.31	12.0	iso0
192.61	12.0	iso0
204.01	12.0	sur
216.61	12.0	orth
228.31	12.0	iso90
252.31	12.0	iso0
264.61	12.0	iso90
276.61	12.0	orth
288.01	12.0	sur
312.61	12.0	iso90
324.02	12.0	iso0
336.02	12.0	sur
348.02	12.0	orth
372.32	12.0	iso0
384.32	12.0	sur
396.32	12.0	iso90
408.32	12.0	orth
432.02	12.0	orth
444.32	12.0	iso90
456.62	12.0	iso0
468.02	12.0	sur
